Row Labels,Count of Age,,,
Homeless Individual(s),1524,,,
15,1,,,
18,3,,,
19,1,,,
20,11,,,
21,26,,,
22,9,,,
23,20,,,
24,18,,,
25,12,,,
26,23,,,
27,33,,,
28,29,,,
29,49,,,
30,53,,,
31,36,,,
32,48,,,
33,52,,,
34,24,,,
35,24,,,
36,39,,,
37,30,,,
38,38,,,
39,30,,,
40,40,,,
41,34,,,
42,52,,,
43,31,,,
44,29,,,
45,34,,,
46,10,,,
47,26,,,
48,33,,,
49,27,,,
50,43,,,
51,41,,,
52,29,,,
53,33,,,
54,45,,,
55,56,,,
56,52,,,
57,32,,,
58,20,,,
59,28,,,
60,18,,,
61,16,,,
62,23,,,
63,18,,,
64,43,,,
65,20,,,
66,13,,,
67,14,,,
68,2,,,
69,9,,,
70,4,,,
71,4,,,
72,7,,,
73,13,,,
74,4,,,
77,1,,,
78,6,,,
79,4,,,
82,1,,,
(blank),,,,
Possible Drug Activity,470,,,
14,2,,,
15,2,,,
18,4,,,
19,3,,,
20,9,,,
21,8,,,
22,16,,,
23,9,,,
24,18,,,
25,14,,,
26,16,,,
27,22,,,
28,12,,,
29,15,,,
30,13,,,
31,11,,,
32,35,,,
33,20,,,
34,9,,,
35,24,,,
36,11,,,
37,13,,,
38,8,,,
39,10,,,
40,13,,,
41,7,,,
42,4,,,
43,10,,,
44,3,,,
45,4,,,
46,6,,,
47,3,,,
48,4,,,
49,10,,,
51,11,,,
52,15,,,
53,10,,,
54,7,,,
55,3,,,
56,3,,,
57,4,,,
58,3,,,
59,3,,,
60,7,,,
61,1,,,
62,1,,,
63,1,,,
64,4,,,
66,1,,,
67,2,,,
68,2,,,
69,4,,,
71,1,,,
72,2,,,
75,1,,,
78,1,,,
80,3,,,
117,6,,,
118,6,,,
(blank),,,,
Possible Gang Activity,29,,,
14,1,,,
16,2,,,
17,1,,,
20,1,,,
21,1,,,
22,1,,,
24,1,,,
25,2,,,
28,1,,,
29,2,,,
31,2,,,
33,2,,,
38,2,,,
41,1,,,
43,2,,,
44,1,,,
46,1,,,
49,1,,,
52,2,,,
58,2,,,
(blank),,,,
Possible Terrorist Activity,13,,,
32,1,,,
33,1,,,
39,3,,,
42,1,,,
45,1,,,
47,1,,,
48,1,,,
49,1,,,
52,1,,,
59,2,,,
(blank),,,,
(blank),909,,,
5,1,,,
14,1,,,
15,2,,,
16,5,,,
17,31,,,
18,14,,,
19,37,,,
20,27,,,
21,27,,,
22,19,,,
23,23,,,
24,26,,,
25,31,,,
26,26,,,
27,24,,,
28,20,,,
29,30,,,
30,16,,,
31,28,,,
32,37,,,
33,14,,,
34,36,,,
35,23,,,
36,16,,,
37,30,,,
38,20,,,
39,16,,,
40,13,,,
41,30,,,
42,7,,,
43,7,,,
44,8,,,
45,14,,,
46,7,,,
47,23,,,
48,17,,,
49,9,,,
50,9,,,
51,12,,,
52,9,,,
53,15,,,
54,17,,,
55,7,,,
56,8,,,
57,10,,,
58,20,,,
59,12,,,
60,3,,,
61,5,,,
62,7,,,
63,3,,,
64,7,,,
65,7,,,
66,7,,,
67,3,,,
68,5,,,
69,1,,,
70,2,,,
71,2,,,
72,2,,,
74,2,,,
76,1,,,
77,1,,,
80,1,,,
84,1,,,
87,1,,,
116,1,,,
117,3,,,
119,1,,,
120,7,,,
121,2,,,
(blank),,,,
Grand Total,2945,,,
