Row Labels,Count of CaseNumber,,,,,,,
2016-0F1-032781,1,,,,,,,
3363,1,,,,,,,
2016-0F1-034548,1,,,,,,,
1980,1,,,,,,,
2016-0F1-035677,2,,,,,,,
2500,1,,,,,,,
3048,1,,,,,,,
2016-0F1-036653,1,,,,,,,
2763,1,,,,,,,
2016-0F1-037910,2,,,,,,,
1434,1,,,,,,,
1729,1,,,,,,,
2016-0F1-037941,1,,,,,,,
3287,1,,,,,,,
2016-0F1-038055,1,,,,,,,
3223,1,,,,,,,
2016-0F1-038300,6,,,,,,,
995,2,,,,,,,
1980,2,,,,,,,
2895,2,,,,,,,
2016-0F1-039378,3,,,,,,,
1854,1,,,,,,,
1980,1,,,,,,,
2740,1,,,,,,,
2016-0F1-039476,1,,,,,,,
2291,1,,,,,,,
2016-0F1-040201,1,,,,,,,
1793,1,,,,,,,
2016-0F1-040394,1,,,,,,,
2895,1,,,,,,,
2016-0F1-040645,1,,,,,,,
2947,1,,,,,,,
2016-0H2-006495,3,,,,,,,
3946,1,,,,,,,
3976,1,,,,,,,
4010,1,,,,,,,
2016-0H3-000628,1,,,,,,,
3744,1,,,,,,,
2016-0H3-001123,1,,,,,,,
3744,1,,,,,,,
2016-0H3-002430,2,,,,,,,
3744,1,,,,,,,
3970,1,,,,,,,
2016-0H3-003381,1,,,,,,,
3744,1,,,,,,,
2016-0H3-003383,1,,,,,,,
3744,1,,,,,,,
2016-0H3-003614,2,,,,,,,
3744,1,,,,,,,
4002,1,,,,,,,
2016-0H3-004234,2,,,,,,,
3744,1,,,,,,,
4002,1,,,,,,,
2016-0H3-005800,1,,,,,,,
3744,1,,,,,,,
2016-0H3-005867,1,,,,,,,
3744,1,,,,,,,
2016-0H3-005869,1,,,,,,,
3744,1,,,,,,,
2016-0H3-005997,1,,,,,,,
3744,1,,,,,,,
2016-0H3-005998,2,,,,,,,
3744,2,,,,,,,
2016-0H3-006002,1,,,,,,,
3744,1,,,,,,,
2016-0H3-006320,1,,,,,,,
2398,1,,,,,,,
2016-0H3-007349,1,,,,,,,
3744,1,,,,,,,
2016-0H3-007874,1,,,,,,,
3744,1,,,,,,,
2016-0H4-000386,1,,,,,,,
3065,1,,,,,,,
2016-0H4-000412,2,,,,,,,
3065,1,,,,,,,
3120,1,,,,,,,
2016-0H4-000426,1,,,,,,,
3219,1,,,,,,,
2016-0H4-000833,1,,,,,,,
3065,1,,,,,,,
2016-0H4-001146,1,,,,,,,
3065,1,,,,,,,
2016-0H4-001169,2,,,,,,,
3219,2,,,,,,,
2016-0H4-001355,1,,,,,,,
3065,1,,,,,,,
2016-0H4-001655,1,,,,,,,
3065,1,,,,,,,
2016-0H4-001769,2,,,,,,,
2994,2,,,,,,,
2016-0H4-001940,1,,,,,,,
3065,1,,,,,,,
2016-0H4-002163,2,,,,,,,
3394,1,,,,,,,
3695,1,,,,,,,
2016-0H4-002206,1,,,,,,,
2117,1,,,,,,,
2016-0H4-002303,1,,,,,,,
3323,1,,,,,,,
2016-0H4-002530,1,,,,,,,
3065,1,,,,,,,
2016-0H4-002576,1,,,,,,,
3065,1,,,,,,,
2016-0H4-002669,1,,,,,,,
3065,1,,,,,,,
2016-0H4-002846,1,,,,,,,
(blank),1,,,,,,,
2016-0H4-003010,1,,,,,,,
3615,1,,,,,,,
2016-0H4-003083,1,,,,,,,
3219,1,,,,,,,
2016-0H4-003131,1,,,,,,,
3217,1,,,,,,,
2016-0H4-003220,1,,,,,,,
3921,1,,,,,,,
2016-0H4-003244,1,,,,,,,
3219,1,,,,,,,
2016-0H4-003439,2,,,,,,,
1767,1,,,,,,,
2994,1,,,,,,,
2016-0H4-003598,1,,,,,,,
(blank),1,,,,,,,
2016-0H4-003725,1,,,,,,,
3615,1,,,,,,,
2016-0H4-003818,1,,,,,,,
3634,1,,,,,,,
2016-0H4-004255,2,,,,,,,
3397,1,,,,,,,
3577,1,,,,,,,
2016-0H4-004399,2,,,,,,,
3379,2,,,,,,,
2016-0H4-004400,1,,,,,,,
3615,1,,,,,,,
2016-0H4-004528,1,,,,,,,
3379,1,,,,,,,
2016-0H4-004532,1,,,,,,,
3907,1,,,,,,,
2016-0H4-004633,1,,,,,,,
3394,1,,,,,,,
2016-0H4-004641,3,,,,,,,
3094,3,,,,,,,
2016-0H4-004842,1,,,,,,,
3730,1,,,,,,,
2016-0H4-004849,1,,,,,,,
3730,1,,,,,,,
2016-0H4-005056,1,,,,,,,
1221,1,,,,,,,
2016-0H4-005290,1,,,,,,,
3634,1,,,,,,,
2016-0H4-005503,1,,,,,,,
3394,1,,,,,,,
2016-0H4-005707,2,,,,,,,
3695,2,,,,,,,
2016-0H4-005845,1,,,,,,,
2965,1,,,,,,,
2016-0H4-006121,2,,,,,,,
1767,2,,,,,,,
2016-0H4-006129,1,,,,,,,
3695,1,,,,,,,
2016-0H4-006498,1,,,,,,,
3730,1,,,,,,,
2016-0H4-006601,4,,,,,,,
3120,2,,,,,,,
3615,2,,,,,,,
2016-0H4-006627,1,,,,,,,
3379,1,,,,,,,
2016-0H4-006766,1,,,,,,,
3065,1,,,,,,,
2016-0H4-007235,2,,,,,,,
3219,1,,,,,,,
3695,1,,,,,,,
2016-0H4-007328,1,,,,,,,
3397,1,,,,,,,
2016-0H4-007356,2,,,,,,,
3219,1,,,,,,,
3581,1,,,,,,,
2016-0H4-007630,1,,,,,,,
3730,1,,,,,,,
2016-0H4-007786,1,,,,,,,
3397,1,,,,,,,
2016-0H4-007881,3,,,,,,,
3110,1,,,,,,,
3120,1,,,,,,,
3217,1,,,,,,,
2016-0H5-001534,1,,,,,,,
3429,1,,,,,,,
2016-0H5-002571,1,,,,,,,
3612,1,,,,,,,
2016-0H5-003851,1,,,,,,,
3035,1,,,,,,,
2016-0H5-004561,1,,,,,,,
3429,1,,,,,,,
2016-0H5-004585,1,,,,,,,
3250,1,,,,,,,
2016-0H5-004606,2,,,,,,,
3205,1,,,,,,,
4001,1,,,,,,,
2016-0H5-004617,2,,,,,,,
3205,2,,,,,,,
2016-0H5-005137,2,,,,,,,
682,1,,,,,,,
3592,1,,,,,,,
2016-0H5-006229,2,,,,,,,
1702,1,,,,,,,
3427,1,,,,,,,
2016-0H5-006302,1,,,,,,,
3205,1,,,,,,,
2016-0H5-007781,2,,,,,,,
682,1,,,,,,,
3480,1,,,,,,,
2016-0H5-007782,8,,,,,,,
682,4,,,,,,,
3480,4,,,,,,,
2016-0H5-007806,4,,,,,,,
3205,4,,,,,,,
2016-0H5-008153,1,,,,,,,
3202,1,,,,,,,
2016-0H5-008488,1,,,,,,,
3147,1,,,,,,,
2016-0H5-008683,1,,,,,,,
3150,1,,,,,,,
2016-0H5-009411,1,,,,,,,
3205,1,,,,,,,
2016-0H6-000101,1,,,,,,,
(blank),1,,,,,,,
2016-0H6-000329,2,,,,,,,
(blank),2,,,,,,,
2016-0H6-001170,1,,,,,,,
3541,1,,,,,,,
2016-0H6-001375,1,,,,,,,
3541,1,,,,,,,
2016-0H6-001377,1,,,,,,,
3541,1,,,,,,,
2016-0H6-001532,1,,,,,,,
3541,1,,,,,,,
2016-0H6-001746,1,,,,,,,
3511,1,,,,,,,
2016-0H6-001929,1,,,,,,,
3511,1,,,,,,,
2016-0H6-002006,2,,,,,,,
3188,1,,,,,,,
3992,1,,,,,,,
2016-0H6-002013,1,,,,,,,
(blank),1,,,,,,,
2016-0H6-002492,2,,,,,,,
3188,1,,,,,,,
3992,1,,,,,,,
2016-0H6-002500,1,,,,,,,
(blank),1,,,,,,,
2016-0H6-002850,1,,,,,,,
3954,1,,,,,,,
2016-0H6-002890,2,,,,,,,
3541,2,,,,,,,
2016-0H6-003192,1,,,,,,,
4032,1,,,,,,,
2016-0H6-003228,1,,,,,,,
3541,1,,,,,,,
2016-0H6-003348,1,,,,,,,
(blank),1,,,,,,,
2016-0H6-003686,1,,,,,,,
3217,1,,,,,,,
2016-0H6-003737,1,,,,,,,
3541,1,,,,,,,
2016-0H6-003742,1,,,,,,,
3541,1,,,,,,,
2016-0H6-003743,1,,,,,,,
3541,1,,,,,,,
2016-0H6-003880,6,,,,,,,
2812,3,,,,,,,
3217,3,,,,,,,
2016-0H6-003881,3,,,,,,,
3217,1,,,,,,,
3323,1,,,,,,,
3921,1,,,,,,,
2016-0H6-003932,1,,,,,,,
3868,1,,,,,,,
2016-0H6-003979,1,,,,,,,
(blank),1,,,,,,,
2016-0H6-004478,1,,,,,,,
3541,1,,,,,,,
2016-0H6-004615,1,,,,,,,
3541,1,,,,,,,
2016-0H6-004632,1,,,,,,,
(blank),1,,,,,,,
2016-0H6-004793,1,,,,,,,
3541,1,,,,,,,
2016-0H6-005318,1,,,,,,,
(blank),1,,,,,,,
2016-0H6-005937,1,,,,,,,
2041,1,,,,,,,
2016-0H6-006080,1,,,,,,,
1621,1,,,,,,,
2016-0H6-006306,1,,,,,,,
3188,1,,,,,,,
2016-0H6-006378,1,,,,,,,
3315,1,,,,,,,
2016-0H6-006396,2,,,,,,,
3217,2,,,,,,,
2016-0H6-006570,1,,,,,,,
3217,1,,,,,,,
2016-0H6-007093,1,,,,,,,
3989,1,,,,,,,
2016-0H6-007198,2,,,,,,,
3217,2,,,,,,,
2016-0H6-007633,2,,,,,,,
3893,1,,,,,,,
4004,1,,,,,,,
2016-0H7-003547,2,,,,,,,
2965,2,,,,,,,
2016-0H7-006121,1,,,,,,,
(blank),1,,,,,,,
2016-0H7-006756,3,,,,,,,
3217,3,,,,,,,
2016-0H7-006806,1,,,,,,,
3541,1,,,,,,,
2016-GEU-000115,2,,,,,,,
1856,1,,,,,,,
3192,1,,,,,,,
2016-GEU-000135,8,,,,,,,
(blank),8,,,,,,,
2016-GEU-000260,4,,,,,,,
(blank),4,,,,,,,
2016-GEU-000296,1,,,,,,,
3518,1,,,,,,,
2016-GEU-000478,2,,,,,,,
(blank),2,,,,,,,
2016-GEU-000857,1,,,,,,,
(blank),1,,,,,,,
2016-GEU-000904,1,,,,,,,
(blank),1,,,,,,,
2016-GEU-000993,2,,,,,,,
2180,1,,,,,,,
3518,1,,,,,,,
2016-GEU-001097,4,,,,,,,
3518,2,,,,,,,
3550,2,,,,,,,
2016-GEU-001109,2,,,,,,,
2180,1,,,,,,,
3518,1,,,,,,,
2016-GEU-001138,1,,,,,,,
(blank),1,,,,,,,
2016-GEU-001200,1,,,,,,,
(blank),1,,,,,,,
2016-GEU-001205,2,,,,,,,
(blank),2,,,,,,,
2016-GEU-001261,1,,,,,,,
3518,1,,,,,,,
2016-GEU-001339,12,,,,,,,
2703,3,,,,,,,
3030,3,,,,,,,
3518,3,,,,,,,
3876,3,,,,,,,
2016-GEU-001346,1,,,,,,,
(blank),1,,,,,,,
2016-GEU-001353,4,,,,,,,
2120,2,,,,,,,
2180,2,,,,,,,
2016-GEU-001467,1,,,,,,,
(blank),1,,,,,,,
2016-GEU-001490,2,,,,,,,
3055,1,,,,,,,
3518,1,,,,,,,
2016-GEU-001601,2,,,,,,,
(blank),2,,,,,,,
2016-GEU-001689,1,,,,,,,
2180,1,,,,,,,
2016-TK9-000132,2,,,,,,,
3037,1,,,,,,,
3553,1,,,,,,,
2017-0A1-000062,1,,,,,,,
(blank),1,,,,,,,
2017-0A1-005487,1,,,,,,,
(blank),1,,,,,,,
2017-0A1-009880,2,,,,,,,
3187,2,,,,,,,
2017-0A1-011420,4,,,,,,,
3788,2,,,,,,,
4053,2,,,,,,,
2017-0A2-001430,3,,,,,,,
3749,3,,,,,,,
2017-0A2-003357,1,,,,,,,
3959,1,,,,,,,
2017-0A2-004131,1,,,,,,,
(blank),1,,,,,,,
2017-0A2-006188,1,,,,,,,
3749,1,,,,,,,
2017-0A2-007358,2,,,,,,,
4030,2,,,,,,,
2017-0A3-001033,1,,,,,,,
3468,1,,,,,,,
2017-0A3-001647,1,,,,,,,
3468,1,,,,,,,
2017-0A4-000687,1,,,,,,,
3823,1,,,,,,,
2017-0A4-003991,2,,,,,,,
3661,1,,,,,,,
3823,1,,,,,,,
2017-0A4-004590,1,,,,,,,
3823,1,,,,,,,
2017-0A4-007844,1,,,,,,,
3823,1,,,,,,,
2017-0A5-001225,1,,,,,,,
3574,1,,,,,,,
2017-0A5-002059,1,,,,,,,
(blank),1,,,,,,,
2017-0A5-002063,3,,,,,,,
3819,1,,,,,,,
3837,1,,,,,,,
4047,1,,,,,,,
2017-0A5-002073,2,,,,,,,
3493,1,,,,,,,
3601,1,,,,,,,
2017-0A5-002097,1,,,,,,,
4040,1,,,,,,,
2017-0A5-002170,1,,,,,,,
(blank),1,,,,,,,
2017-0A5-002179,1,,,,,,,
3826,1,,,,,,,
2017-0A5-002235,1,,,,,,,
4040,1,,,,,,,
2017-0A5-002680,1,,,,,,,
3601,1,,,,,,,
2017-0A5-003467,4,,,,,,,
2551,2,,,,,,,
3184,2,,,,,,,
2017-0A5-004440,2,,,,,,,
4040,1,,,,,,,
4047,1,,,,,,,
2017-0A5-004786,1,,,,,,,
3601,1,,,,,,,
2017-0A5-005026,1,,,,,,,
3837,1,,,,,,,
2017-0A5-005027,2,,,,,,,
3837,2,,,,,,,
2017-0A5-005101,1,,,,,,,
4040,1,,,,,,,
2017-0A5-005239,2,,,,,,,
3837,1,,,,,,,
4047,1,,,,,,,
2017-0A5-005358,2,,,,,,,
3915,2,,,,,,,
2017-0A5-005635,1,,,,,,,
3691,1,,,,,,,
2017-0A5-005668,2,,,,,,,
3509,2,,,,,,,
2017-0A5-006893,1,,,,,,,
3582,1,,,,,,,
2017-0A6-001328,6,,,,,,,
3791,6,,,,,,,
2017-0A6-005573,1,,,,,,,
3820,1,,,,,,,
2017-0A6-008351,1,,,,,,,
3605,1,,,,,,,
2017-0AH-000443,1,,,,,,,
3509,1,,,,,,,
2017-0AH-001018,1,,,,,,,
(blank),1,,,,,,,
2017-0B1-004255,1,,,,,,,
2451,1,,,,,,,
2017-0B1-006413,2,,,,,,,
(blank),2,,,,,,,
2017-0B1-006779,2,,,,,,,
3781,2,,,,,,,
2017-0B1-007058,1,,,,,,,
2451,1,,,,,,,
2017-0B1-007947,1,,,,,,,
2834,1,,,,,,,
2017-0B2-005132,1,,,,,,,
3783,1,,,,,,,
2017-0B2-005173,1,,,,,,,
2231,1,,,,,,,
2017-0B4-002044,2,,,,,,,
3877,1,,,,,,,
3934,1,,,,,,,
2017-0B4-003193,4,,,,,,,
2377,2,,,,,,,
3797,2,,,,,,,
2017-0B4-003357,1,,,,,,,
(blank),1,,,,,,,
2017-0BH-000752,1,,,,,,,
(blank),1,,,,,,,
2017-0BH-000758,1,,,,,,,
(blank),1,,,,,,,
2017-0C1-005580,2,,,,,,,
(blank),2,,,,,,,
2017-0C1-006344,1,,,,,,,
3724,1,,,,,,,
2017-0C2-001943,1,,,,,,,
3168,1,,,,,,,
2017-0C2-006307,2,,,,,,,
3754,2,,,,,,,
2017-0C5-001767,1,,,,,,,
3880,1,,,,,,,
2017-0C5-002022,1,,,,,,,
(blank),1,,,,,,,
2017-0C5-004722,2,,,,,,,
3871,2,,,,,,,
2017-0C7-001500,1,,,,,,,
1414,1,,,,,,,
2017-0D1-000603,1,,,,,,,
(blank),1,,,,,,,
2017-0D3-006135,2,,,,,,,
(blank),2,,,,,,,
2017-0D4-000781,2,,,,,,,
3731,2,,,,,,,
2017-0D4-000819,1,,,,,,,
3476,1,,,,,,,
2017-0D4-001245,1,,,,,,,
3476,1,,,,,,,
2017-0D4-001687,2,,,,,,,
3476,2,,,,,,,
2017-0D4-002067,9,,,,,,,
660,3,,,,,,,
3438,3,,,,,,,
3591,3,,,,,,,
2017-0D4-002103,4,,,,,,,
3591,2,,,,,,,
3728,2,,,,,,,
2017-0D4-003022,1,,,,,,,
3476,1,,,,,,,
2017-0D4-003352,1,,,,,,,
3476,1,,,,,,,
2017-0D4-003478,1,,,,,,,
3646,1,,,,,,,
2017-0D4-003673,1,,,,,,,
3476,1,,,,,,,
2017-0D4-003713,2,,,,,,,
3476,2,,,,,,,
2017-0D4-003764,1,,,,,,,
3568,1,,,,,,,
2017-0D4-003848,2,,,,,,,
3728,2,,,,,,,
2017-0D4-003875,1,,,,,,,
3476,1,,,,,,,
2017-0D4-003932,4,,,,,,,
3476,2,,,,,,,
3479,2,,,,,,,
2017-0D4-004117,4,,,,,,,
3591,2,,,,,,,
3731,2,,,,,,,
2017-0D4-004397,1,,,,,,,
3476,1,,,,,,,
2017-0D4-004947,1,,,,,,,
3476,1,,,,,,,
2017-0D4-004987,2,,,,,,,
3728,1,,,,,,,
3731,1,,,,,,,
2017-0D4-005008,1,,,,,,,
3476,1,,,,,,,
2017-0D4-005058,1,,,,,,,
3476,1,,,,,,,
2017-0D4-005438,1,,,,,,,
3476,1,,,,,,,
2017-0D4-005441,1,,,,,,,
3476,1,,,,,,,
2017-0D7-000630,2,,,,,,,
3395,2,,,,,,,
2017-0D7-003001,2,,,,,,,
3072,1,,,,,,,
3794,1,,,,,,,
2017-0DH-001292,1,,,,,,,
3568,1,,,,,,,
2017-0E1-003193,1,,,,,,,
(blank),1,,,,,,,
2017-0E2-005902,2,,,,,,,
(blank),2,,,,,,,
2017-0E4-002127,3,,,,,,,
532,1,,,,,,,
817,1,,,,,,,
3586,1,,,,,,,
2017-0E4-003493,3,,,,,,,
1667,1,,,,,,,
3050,1,,,,,,,
3879,1,,,,,,,
2017-0E4-004729,1,,,,,,,
2386,1,,,,,,,
2017-0E4-004979,1,,,,,,,
532,1,,,,,,,
2017-0E4-005773,3,,,,,,,
532,1,,,,,,,
817,1,,,,,,,
3879,1,,,,,,,
2017-0E4-006456,4,,,,,,,
817,1,,,,,,,
1346,1,,,,,,,
2956,1,,,,,,,
3332,1,,,,,,,
2017-0E4-006574,1,,,,,,,
817,1,,,,,,,
2017-0E4-006653,4,,,,,,,
817,1,,,,,,,
870,1,,,,,,,
2393,1,,,,,,,
3437,1,,,,,,,
2017-0E4-006669,2,,,,,,,
1346,1,,,,,,,
2814,1,,,,,,,
2017-0E4-006720,2,,,,,,,
532,2,,,,,,,
2017-0E4-006741,3,,,,,,,
532,3,,,,,,,
2017-0E4-007041,3,,,,,,,
532,3,,,,,,,
2017-0E4-007282,2,,,,,,,
2738,1,,,,,,,
2814,1,,,,,,,
2017-0E4-007307,2,,,,,,,
817,1,,,,,,,
2386,1,,,,,,,
2017-0E4-007373,2,,,,,,,
561,1,,,,,,,
817,1,,,,,,,
2017-0E4-007432,1,,,,,,,
532,1,,,,,,,
2017-0E4-007898,1,,,,,,,
1667,1,,,,,,,
2017-0E4-008128,1,,,,,,,
532,1,,,,,,,
2017-0E4-008129,1,,,,,,,
532,1,,,,,,,
2017-0E4-008302,1,,,,,,,
817,1,,,,,,,
