Row Labels,Count of CaseNumber,,,,,,,
2016-0A1-003962,2,,,,,,,
3849,1,,,,,,,
4066,1,,,,,,,
2016-0A1-004625,6,,,,,,,
3151,3,,,,,,,
3184,3,,,,,,,
2016-0A1-007823,1,,,,,,,
3342,1,,,,,,,
2016-0A1-009753,1,,,,,,,
3342,1,,,,,,,
2016-0A1-009783,1,,,,,,,
(blank),1,,,,,,,
2016-0A1-009905,2,,,,,,,
3787,2,,,,,,,
2016-0A2-006131,3,,,,,,,
3749,3,,,,,,,
2016-0A4-004144,3,,,,,,,
3506,3,,,,,,,
2016-0A4-005258,1,,,,,,,
3735,1,,,,,,,
2016-0A4-005422,1,,,,,,,
3823,1,,,,,,,
2016-0A4-005516,1,,,,,,,
3735,1,,,,,,,
2016-0A5-005566,1,,,,,,,
3509,1,,,,,,,
2016-0A5-006193,1,,,,,,,
1445,1,,,,,,,
2016-0A6-001744,2,,,,,,,
3735,2,,,,,,,
2016-0A6-005757,1,,,,,,,
1445,1,,,,,,,
2016-0A6-007738,3,,,,,,,
3406,3,,,,,,,
2016-0AH-000809,1,,,,,,,
(blank),1,,,,,,,
2016-0B3-005222,3,,,,,,,
3746,1,,,,,,,
3804,1,,,,,,,
3862,1,,,,,,,
2016-0B5-001334,2,,,,,,,
3651,1,,,,,,,
3715,1,,,,,,,
2016-0B5-002881,3,,,,,,,
3839,3,,,,,,,
2016-0B6-005259,1,,,,,,,
(blank),1,,,,,,,
2016-0C2-001876,2,,,,,,,
3744,1,,,,,,,
3832,1,,,,,,,
2016-0C2-012074,3,,,,,,,
3529,3,,,,,,,
2016-0C3-003122,1,,,,,,,
3791,1,,,,,,,
2016-0C4-003336,1,,,,,,,
3758,1,,,,,,,
2016-0C5-001034,1,,,,,,,
3497,1,,,,,,,
2016-0C5-001432,1,,,,,,,
(blank),1,,,,,,,
2016-0C5-001586,4,,,,,,,
3765,2,,,,,,,
3942,2,,,,,,,
2016-0C5-002622,1,,,,,,,
3871,1,,,,,,,
2016-0C5-003177,4,,,,,,,
2912,2,,,,,,,
3960,2,,,,,,,
2016-0C5-003561,1,,,,,,,
3567,1,,,,,,,
2016-0C6-001010,2,,,,,,,
2900,1,,,,,,,
3021,1,,,,,,,
2016-0C6-009037,3,,,,,,,
(blank),3,,,,,,,
2016-0D1-001268,1,,,,,,,
3314,1,,,,,,,
2016-0D2-001242,1,,,,,,,
3775,1,,,,,,,
2016-0D3-001459,1,,,,,,,
(blank),1,,,,,,,
2016-0D3-002194,1,,,,,,,
2522,1,,,,,,,
2016-0D3-002530,3,,,,,,,
856,1,,,,,,,
3232,1,,,,,,,
3513,1,,,,,,,
2016-0D3-002838,2,,,,,,,
3748,1,,,,,,,
4060,1,,,,,,,
2016-0D3-005357,1,,,,,,,
3513,1,,,,,,,
2016-0D3-005379,1,,,,,,,
3513,1,,,,,,,
2016-0D4-002811,1,,,,,,,
3744,1,,,,,,,
2016-0D4-004402,1,,,,,,,
3476,1,,,,,,,
2016-0D4-004403,1,,,,,,,
3476,1,,,,,,,
2016-0D4-004652,1,,,,,,,
3476,1,,,,,,,
2016-0D4-004653,2,,,,,,,
3476,2,,,,,,,
2016-0D4-004723,1,,,,,,,
3476,1,,,,,,,
2016-0D4-004724,6,,,,,,,
3476,6,,,,,,,
2016-0D4-004837,1,,,,,,,
3476,1,,,,,,,
2016-0D4-004991,1,,,,,,,
3476,1,,,,,,,
2016-0D4-005096,1,,,,,,,
3476,1,,,,,,,
2016-0D4-005313,2,,,,,,,
3476,2,,,,,,,
2016-0D4-005329,1,,,,,,,
3476,1,,,,,,,
2016-0D4-005470,1,,,,,,,
3476,1,,,,,,,
2016-0D4-005556,4,,,,,,,
3476,4,,,,,,,
2016-0D4-005595,1,,,,,,,
3646,1,,,,,,,
2016-0D6-000691,2,,,,,,,
2235,2,,,,,,,
2016-0D7-001860,4,,,,,,,
3828,2,,,,,,,
3922,2,,,,,,,
2016-0E2-005793,1,,,,,,,
3163,1,,,,,,,
2016-0E4-000718,3,,,,,,,
532,1,,,,,,,
724,1,,,,,,,
817,1,,,,,,,
2016-0E4-001518,3,,,,,,,
1013,1,,,,,,,
1295,1,,,,,,,
1667,1,,,,,,,
2016-0E4-002181,2,,,,,,,
1135,1,,,,,,,
2582,1,,,,,,,
2016-0E4-002808,3,,,,,,,
2226,3,,,,,,,
2016-0E4-002930,2,,,,,,,
1240,1,,,,,,,
1346,1,,,,,,,
2016-0E4-004321,2,,,,,,,
1227,1,,,,,,,
1295,1,,,,,,,
2016-0E4-004543,3,,,,,,,
532,1,,,,,,,
537,1,,,,,,,
817,1,,,,,,,
2016-0E4-004555,1,,,,,,,
1227,1,,,,,,,
2016-0E4-005058,2,,,,,,,
1295,1,,,,,,,
3135,1,,,,,,,
2016-0E4-006306,3,,,,,,,
2003,1,,,,,,,
2226,1,,,,,,,
3416,1,,,,,,,
2016-0E4-006330,2,,,,,,,
2973,2,,,,,,,
2016-0E4-006720,1,,,,,,,
3285,1,,,,,,,
2016-0E4-006850,1,,,,,,,
1013,1,,,,,,,
2016-0E4-006851,2,,,,,,,
532,1,,,,,,,
817,1,,,,,,,
2016-0E4-006966,1,,,,,,,
2933,1,,,,,,,
2016-0E4-007123,2,,,,,,,
537,1,,,,,,,
2487,1,,,,,,,
2016-0E4-007135,1,,,,,,,
1165,1,,,,,,,
2016-0E4-007848,3,,,,,,,
532,1,,,,,,,
817,1,,,,,,,
3879,1,,,,,,,
2016-0E4-008220,1,,,,,,,
3139,1,,,,,,,
2016-0E4-008532,3,,,,,,,
532,1,,,,,,,
817,1,,,,,,,
2933,1,,,,,,,
2016-0E4-009830,1,,,,,,,
1295,1,,,,,,,
2016-0E4-009949,2,,,,,,,
1135,1,,,,,,,
3879,1,,,,,,,
2016-0E4-009980,2,,,,,,,
561,1,,,,,,,
3879,1,,,,,,,
2016-0E4-010218,2,,,,,,,
537,1,,,,,,,
3139,1,,,,,,,
2016-0E4-010929,2,,,,,,,
1013,1,,,,,,,
3285,1,,,,,,,
2016-0E4-011027,1,,,,,,,
2933,1,,,,,,,
2016-0F1-001657,1,,,,,,,
1729,1,,,,,,,
2016-0F1-002195,3,,,,,,,
3027,1,,,,,,,
3196,1,,,,,,,
3261,1,,,,,,,
2016-0F1-004914,3,,,,,,,
3027,1,,,,,,,
3196,1,,,,,,,
3261,1,,,,,,,
2016-0F1-005809,1,,,,,,,
3339,1,,,,,,,
2016-0F1-006390,1,,,,,,,
2382,1,,,,,,,
2016-0F1-006934,1,,,,,,,
3331,1,,,,,,,
2016-0F1-007038,1,,,,,,,
623,1,,,,,,,
2016-0F1-007602,2,,,,,,,
1343,1,,,,,,,
2095,1,,,,,,,
2016-0F1-007900,2,,,,,,,
3027,1,,,,,,,
3261,1,,,,,,,
2016-0F1-007933,1,,,,,,,
1805,1,,,,,,,
2016-0F1-008164,1,,,,,,,
2947,1,,,,,,,
2016-0F1-009069,1,,,,,,,
1852,1,,,,,,,
2016-0F1-009450,1,,,,,,,
1980,1,,,,,,,
2016-0F1-009508,3,,,,,,,
772,1,,,,,,,
3027,1,,,,,,,
3261,1,,,,,,,
2016-0F1-009557,4,,,,,,,
1588,2,,,,,,,
3287,2,,,,,,,
2016-0F1-010120,2,,,,,,,
3027,1,,,,,,,
3196,1,,,,,,,
2016-0F1-010733,1,,,,,,,
3114,1,,,,,,,
2016-0F1-011011,1,,,,,,,
1434,1,,,,,,,
2016-0F1-011241,1,,,,,,,
3363,1,,,,,,,
2016-0F1-012135,1,,,,,,,
3287,1,,,,,,,
2016-0F1-012227,1,,,,,,,
2171,1,,,,,,,
2016-0F1-012497,1,,,,,,,
963,1,,,,,,,
2016-0F1-013242,2,,,,,,,
1588,1,,,,,,,
3223,1,,,,,,,
2016-0F1-013307,1,,,,,,,
3431,1,,,,,,,
2016-0F1-013546,1,,,,,,,
3463,1,,,,,,,
2016-0F1-014691,1,,,,,,,
3027,1,,,,,,,
2016-0F1-015543,2,,,,,,,
1854,1,,,,,,,
1975,1,,,,,,,
2016-0F1-018857,2,,,,,,,
3027,1,,,,,,,
3196,1,,,,,,,
2016-0F1-019828,1,,,,,,,
2095,1,,,,,,,
2016-0F1-021004,1,,,,,,,
3484,1,,,,,,,
2016-0F1-022150,4,,,,,,,
2213,1,,,,,,,
3027,1,,,,,,,
3196,1,,,,,,,
3261,1,,,,,,,
2016-0F1-022318,4,,,,,,,
772,1,,,,,,,
2213,1,,,,,,,
3027,1,,,,,,,
3261,1,,,,,,,
2016-0F1-022783,4,,,,,,,
2242,2,,,,,,,
2828,2,,,,,,,
2016-0F1-022786,3,,,,,,,
2947,3,,,,,,,
2016-0F1-023210,1,,,,,,,
1829,1,,,,,,,
2016-0F1-025714,1,,,,,,,
2153,1,,,,,,,
2016-0F1-026471,1,,,,,,,
995,1,,,,,,,
2016-0F1-028763,3,,,,,,,
995,1,,,,,,,
3114,1,,,,,,,
3912,1,,,,,,,
2016-0F1-029986,1,,,,,,,
3169,1,,,,,,,
2016-0F1-030777,1,,,,,,,
3114,1,,,,,,,
