Sex,Race,Ethnicity,Age,ResidentStatus
M,W,H,45,N
M,B,H,28,R
M,B,N,19,R
M,W,H,18,R
M,W,H,38,R
M,W,H,38,R
M,B,N,27,R
M,W,N,27,R
M,B,H,42,R
M,W,N,26,R
M,B,H,29,R
M,W,H,35,R
F,B,N,31,R
M,B,H,26,R
M,B,N,25,R
M,W,N,41,N
M,W,H,35,R
M,W,N,22,R
M,W,H,20,R
M,B,N,19,R
M,W,H,20,R
M,B,N,24,N
M,B,H,29,N
M,B,N,17,R
M,B,N,19,R
M,W,H,29,R
M,W,H,34,R
M,U,U,26,R
M,B,N,24,R
M,W,N,24,R
M,W,N,24,R
F,B,N,19,R
M,W,N,20,R
M,W,N,29,R
M,W,H,23,R
M,W,U,27,N
M,B,N,17,R
M,B,H,29,R
M,B,N,26,R
M,W,H,23,R
M,B,N,17,R
M,W,N,23,R
M,W,N,23,R
M,W,N,16,R
M,B,N,22,R
M,B,N,17,R
M,W,N,37,N
M,B,N,29,R
M,B,N,25,R
M,B,N,19,R
M,W,H,21,R
M,W,N,26,N
M,W,N,21,R
M,B,N,21,R
M,W,H,20,R
M,B,N,17,R
M,B,N,16,R
M,B,N,19,R
M,B,N,20,R
M,B,N,26,R
M,B,N,25,R
M,B,H,22,N
M,B,N,17,R
M,B,N,15,R
M,W,N,25,R
M,W,H,17,R
M,B,N,24,R
M,B,N,31,R
M,W,H,18,R
M,B,H,17,R
M,W,H,18,R
M,B,N,18,R
M,B,N,16,R
M,B,H,20,R
M,W,N,30,R
F,W,N,57,R
M,W,H,49,N
M,B,N,34,N
M,W,N,31,N
M,B,N,31,R
M,B,N,29,R
M,B,N,29,R
M,W,N,27,R
M,B,N,25,R
M,W,H,25,R
M,B,N,25,N
M,W,N,25,R
M,B,N,25,R
M,B,N,22,R
M,B,N,18,R
M,W,N,34,R
M,B,N,33,R
M,W,N,32,N
M,B,N,30,R
M,W,N,30,R
M,W,N,29,N
M,W,H,28,R
M,B,N,27,R
M,B,N,27,R
M,W,N,26,N
M,W,H,26,N
M,B,N,26,R
M,W,N,24,R
M,B,N,24,R
M,B,N,25,N
M,W,N,24,R
M,B,H,24,R
M,B,N,24,R
M,W,H,22,R
M,B,H,20,R
M,B,H,20,R
M,B,N,29,R
M,B,H,18,N
M,B,N,49,R
M,W,N,50,R
M,B,N,35,N
M,W,H,33,R
