FieldNum,GangRelatedYN,CreatedDate,CreatedTime,CreatedID
17-58-FI,Y,20170415,1948,400
17-59-FI,N,20170423,0743,544
17-60-FI,N,20170423,1135,548
17-62-FI,N,20170426,1726,446
17-63-FI,N,20170427,1416,548
17-64-FI,N,20170430,1048,505
17-65-FI,N,20170430,1251,571
17-66-FI,N,20170504,1401,548
17-67-FI,N,20170504,1422,548
17-68-FI,N,20170504,1802,446
17-69-FI,N,20170505,1642,548
17-70-FI,N,20170506,1553,548
17-73-FI,N,20170512,0844,535
17-71-FI,N,20170510,0959,548
17-72-FI,Y,20170511,1049,548
17-74-FI,N,20170513,1141,535
17-75-FI,N,20170516,1759,548
17-76-FI,N,20170521,1526,549
17-77-FI,Y,20170521,1702,548
17-78-FI,N,20170522,1711,548
17-81-FI,Y,20170524,1618,407
17-79-FI,Y,20170524,1145,548
17-80-FI,Y,20170524,1531,548
17-82-FI,N,20170525,1035,535
17-83-FI,Y,20170531,1251,535
17-85-FI,N,20170605,1350,535
17-84-FI,N,20170603,2252,548
17-86-FI,N,20170614,0212,443
17-87-FI,N,20170614,1436,548
17-88-FI,N,20170616,2330,493
17-94-FI,N,20170621,0824,482
17-89-FI,N,20170617,1342,548
17-90-FI,Y,20170619,0048,503
17-91-FI,N,20170619,1610,535
17-92-FI,N,20170620,1650,407
17-93-FI,N,20170620,2312,446
17-95-FI,N,20170621,0849,482
17-96-FI,N,20170621,1031,548
17-97-FI,N,20170622,1059,544
17-98-FI,N,20170623,2248,548
17-99-FI,N,20170624,1831,407
17-100-FI,N,20170625,0020,548
17-105-FI,N,20170630,1025,535
17-101-FI,Y,20170628,1405,548
17-102-FI,N,20170629,0816,544
17-103-FI,,20170629,1058,548
17-104-FI,N,20170629,1059,548
17-106-FI,,20170704,0833,548
17-107-FI,,20170704,0835,548
17-108-FI,N,20170704,0836,548
17-109-FI,N,20170705,0817,535
17-110-FI,N,20170707,0821,535
17-111-FI,N,20170707,1636,535
17-112-FI,N,20170707,2350,557
17-113-FI,Y,20170708,1442,548
17-114-FI,N,20170709,0829,544
17-115-FI,N,20170710,1354,548
17-116-FI,,20170710,1522,548
17-117-FI,,20170710,1537,548
17-118-FI,N,20170710,1537,548
17-119-FI,N,20170713,1349,535
17-121-FI,Y,20170715,1219,544
17-120-FI,N,20170714,0218,531
17-122-FI,Y,20170715,1913,468
17-123-FI,N,20170716,0341,548
17-124-FI,Y,20170716,2249,503
17-125-FI,N,20170718,2006,577
17-126-FI,N,20170719,0229,562
17-127-FI,N,20170720,1005,579
17-128-FI,N,20170724,1011,535
17-129-FI,N,20170726,1854,548
17-130-FI,N,20170728,0820,544
17-131-FI,N,20170729,0455,547
17-132-FI,Y,20170801,1744,548
17-133-FI,N,20170802,1012,548
17-134-FI,N,20170809,0750,544
17-135-FI,N,20170810,1608,535
17-136-FI,Y,20170816,1540,544
17-140-FI,N,20170828,1024,548
17-137-FI,Y,20170823,1830,557
17-138-FI,N,20170825,1840,548
17-139-FI,N,20170825,2321,574
17-141-FI,N,20170831,1005,389
17-142-FI,N,20170902,0858,548
17-143-FI,N,20170902,1510,548
17-144-FI,N,20170904,1627,557
17-149-FI,N,20170911,0053,443
17-145-FI,N,20170907,1049,544
