DocNum,AgencyName,Type,Status,StatusDate,IssueDate
15000172,WAL-PD,FIO,ACTIVE,12/22/2015 14:06:00,04/30/2021 14:14:00
16000011,WAL-PD,FIO,ACTIVE,02/01/2016 16:09:00,02/01/2016 16:09:00
16000014,WAL-PD,FIO,ACTIVE,02/20/2016 11:34:00,02/20/2016 11:33:00
16000015,WAL-PD,FIO,ACTIVE,02/22/2016 17:41:00,02/22/2016 17:40:00
16000017,WAL-PD,FIO,ACTIVE,02/27/2016 4:47:00,02/27/2016 0:32:00
16000019,WAL-PD,FIO,ACTIVE,02/27/2016 21:17:00,02/27/2016 21:59:00
16000020,WAL-PD,FIO,ACTIVE,02/29/2016 22:33:00,02/29/2016 22:32:00
16000025,WAL-PD,FIO,ACTIVE,03/28/2016 2:55:00,03/28/2016 2:53:00
16000027,WAL-PD,FIO,ACTIVE,03/31/2016 18:54:00,03/31/2016 18:54:00
16000028,WAL-PD,FIO,ACTIVE,04/02/2016 2:50:00,04/02/2016 2:50:00
16000031,WAL-PD,FIO,ACTIVE,04/04/2016 3:22:00,04/04/2016 0:30:00
16000033,WAL-PD,FIO,ACTIVE,04/06/2016 21:46:00,04/06/2016 21:46:00
16000037,WAL-PD,FIO,ACTIVE,04/25/2016 19:32:00,04/25/2016 19:32:00
16000052,WAL-PD,FIO,ACTIVE,05/09/2016 4:45:00,05/09/2016 4:03:00
16000053,WAL-PD,FIO,ACTIVE,05/07/2016 20:13:00,05/09/2016 20:11:00
16000057,WAL-PD,FIO,ACTIVE,05/12/2016 19:33:00,05/12/2016 19:33:00
16000058,WAL-PD,FIO,ACTIVE,05/12/2016 19:43:00,05/12/2016 19:43:00
16000060,WAL-PD,FIO,ACTIVE,05/21/2016 17:36:00,05/21/2016 17:35:00
16000061,WAL-PD,FIO,ACTIVE,05/21/2016 17:59:00,05/21/2016 18:07:00
16000062,WAL-PD,FIO,ACTIVE,05/24/2016 0:06:00,05/23/2016 0:06:00
16000063,WAL-PD,FIO,ACTIVE,05/25/2016 14:25:00,05/25/2016 14:24:00
16000066,WAL-PD,FIO,ACTIVE,05/31/2016 20:57:00,05/31/2016 20:57:00
16000077,WAL-PD,FIO,ACTIVE,06/12/2016 17:57:00,06/12/2016 17:55:00
16000089,WAL-PD,FIO,ACTIVE,07/07/2016 10:35:00,07/07/2016 10:34:00
16000090,WAL-PD,FIO,ACTIVE,07/07/2016 10:50:00,07/07/2016 10:49:00
16000092,WAL-PD,FIO,ACTIVE,07/10/2016 2:32:00,07/07/2016 1:55:00
16000093,WAL-PD,FIO,ACTIVE,07/11/2016 19:11:00,07/11/2016 19:12:00
16000095,WAL-PD,FIO,ACTIVE,07/18/2016 16:15:00,07/18/2016 3:30:00
16000096,WAL-PD,FIO,ACTIVE,07/20/2016 19:15:00,07/20/2016 19:13:00
16000098,WAL-PD,FIO,ACTIVE,07/28/2016 14:18:00,07/28/2016 14:18:00
16000100,WAL-PD,FIO,ACTIVE,08/11/2016 3:03:00,08/11/2016 3:03:00
16000103,WAL-PD,FIO,ACTIVE,08/22/2016 20:27:00,08/22/2016 20:27:00
16000104,WAL-PD,FIO,ACTIVE,08/23/2016 6:27:00,08/29/2016 6:27:00
16000106,WAL-PD,FIO,ACTIVE,08/26/2016 3:55:00,08/26/2016 3:54:00
