,,,,,,,,,,,,
,,,,,,,,,,,,
Row Labels,Count of Ethnicity,,,,,Row Labels,Count of Race,,,Row Labels,Count of Sex,
AFGHAN,2,,,,,American Indian or Alaskan Native,2,0%,,Female,611,22%
AFRICAN,4,,,,,Asian or Pacific Islander,12,1%,,Male,2090,76%
"AFRICAN
AMERICAN",23,,,,,Black,296,19%,,Unknown,33,1%
AFRICAN AMERICAN,17,,,,,Hispanic,160,10%,,(blank),,
AMERICAN INDIAN,1,,,,,Middle Eastern or East Indian,12,1%,,Grand Total,2734,
BLACK,29,,,,,Unknown,263,17%,,,,
BRAZILIAN,1,,,,,White,794,52%,,,,
DOMINICAN,3,,,,,(blank),,,,,,
HAITIAN,6,,,,,Grand Total,1539,,,,,
HISPANIC,34,,,,,,,,,,,
HONDURAN,3,,,,,,,,,,,
IRISH,4,,,,,,,,,,,
PORTUGUESE,5,,,,,,,,,,,
PUERTO RICAN,17,,,,,,,,,,,
SOMALIAN,4,,,,,,,,,,,
UNKNOWN,19,,,,,,,,,,,
WELSH,2,,,,,,,,,,,
WHITE,181,,,,,,,,,,,
(blank),,,,,,,,,,,,
Grand Total,355,,,,,,,,,,,
