Year,ActivityDate,Method Received,Classification,Sub-Classification,CaseNumber,Location_Summary,Street Address,Location Detail,City,State,Type of location,OfficerId,Race,Ethnicity,Sex,Age
2016,2/12/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000135,"WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,,26
2016,2/13/16,Telephone,FIO,Homeless Individual(s),2016-0H4-001169,,,,,,Unknown,3219,,,,
2016,2/13/16,Telephone,FIO,Homeless Individual(s),2016-0H4-001169,"MEMORIAL DRIVE,  Magazine Beach, CAMBRIDGE, MA
,",MEMORIAL DRIVE,Magazine Beach,Cambridge,MA,Public,3219,,,,
2016,2/15/16,Radio,FIO,Possible Drug Activity,2016-0H3-001123,"26 ROSE STREET,  Stoughton Police Department, STOUGHTON, MA
,",26 ROSE STREET,Stoughton Police Department,Stoughton,MA,Law Enforcement/Government,3744,,,,
2016,2/21/16,Self-initiated,FIO,,2016-0C2-001876,"3 CORMIER CIRCLE, MILFORD, MA
,",3 CORMIER CIRCLE,,Milford,MA,Residence,3744,White,,Male,18
2016,2/21/16,Self-initiated,FIO,,2016-0C2-001876,"3 CORMIER CIRCLE, MILFORD, MA
,",3 CORMIER CIRCLE,,Milford,MA,Residence,3832,White,,Male,18
2016,2/22/16,Telephone,FIO,Homeless Individual(s),2016-0H5-001534,"THE RIVERWALK, between MOODY STREET and PROSPECT STREET, WALTHAM, MA
,", between MOODY STREET and PROSPECT STREET,THE RIVERWALK,Waltham,MA,Public,3429,,,,
2016,2/22/16,Radio,FIO,Homeless Individual(s),2016-0H4-001355,"RIVERWAY & BROOKLINE AVENUE, BOSTON, MA
,",RIVERWAY & BROOKLINE AVENUE,,Boston,MA,Public,3065,,,,
2016,2/23/16,In-person,FIO,,2016-0F1-004914,BOSTON (Logan Airport): Virgin America,BOSTON (Logan Airport): Virgin America,Logan Airport,Boston,MA,Transit,3261,,,Male,26
2016,2/23/16,In-person,FIO,,2016-0F1-004914,BOSTON (Logan Airport): Virgin America,BOSTON (Logan Airport): Virgin America,Logan Airport,Boston,MA,Transit,3027,,,Male,26
2016,2/23/16,In-person,FIO,,2016-0F1-004914,BOSTON (Logan Airport): Virgin America,BOSTON (Logan Airport): Virgin America,Logan Airport,Boston,MA,Transit,3196,,,Male,26
2016,2/26/16,Radio,FIO,Homeless Individual(s),2016-0E4-001518,"FRONTAGE ROAD North,  @ Mass Ave Connector, BOSTON, MA
,",FRONTAGE ROAD North,Mass Ave Connector,Boston,MA,Public,1013,,,,
2016,2/26/16,Radio,FIO,Homeless Individual(s),2016-0E4-001518,"FRONTAGE ROAD North,  @ Mass Ave Connector, BOSTON, MA
,",FRONTAGE ROAD North,Mass Ave Connector,Boston,MA,Public,1667,,,,
2016,2/26/16,Radio,FIO,Homeless Individual(s),2016-0E4-001518,"FRONTAGE ROAD North,  @ Mass Ave Connector, BOSTON, MA
,",FRONTAGE ROAD North,Mass Ave Connector,Boston,MA,Public,1295,,,,
2016,2/26/16,In-person,FIO,Homeless Individual(s),2016-0H6-001170,"COLUMBIA ROAD & RAMP - RT 93 SB TO COLUMBIA RD, BOSTON, MA
,",COLUMBIA ROAD & RAMP - RT 93 SB TO COLUMBIA RD,,Boston,MA,Public,3541,,,,
2016,3/3/16,Radio,FIO,,2016-0F1-005809,"BOSTON (Logan Airport): Terminal E Bldg# 19 500
Terminal Road",BOSTON (Logan Airport): Terminal E Bldg# 19 500,Logan Airport,Boston,MA,Transit,3339,,,,
2016,3/7/16,In-person,FIO,Homeless Individual(s),2016-0H6-001375,"COLUMBIA ROAD & RAMP - RT 93 SB TO COLUMBIA RD, BOSTON, MA
,",COLUMBIA ROAD & RAMP - RT 93 SB TO COLUMBIA RD,,Boston,MA,Public,3541,,,,
2016,3/7/16,Self-initiated,FIO,Homeless Individual(s),2016-0H6-001377,"COLUMBIA ROAD & DORCHESTER AVENUE, BOSTON, MA
,",COLUMBIA ROAD & DORCHESTER AVENUE,,Boston,MA,Public,3541,,,,
2016,3/8/16,,FIO,,2016-0A6-001744,"RT 99,  @ Lowe's, SAUGUS, MA
,",RT 99,Lowe's,SAUGUS,MA,Private,3735,,,,32
2016,3/8/16,,FIO,,2016-0A6-001744,"RT 99,  @ Lowe's, SAUGUS, MA
,",RT 99,Lowe's,SAUGUS,MA,Private,3735,White,WHITE,Female,25
2016,3/9/16,In-person,FIO,Possible Gang Activity,2016-0C5-001034,"RT 20 East,  Xtramart, STURBRIDGE, MA
,",RT 20 East,Xtramart,Sturbridge,MA,Private,3497,White,,Male,38
2016,3/10/16,Telephone,FIO,Homeless Individual(s),2016-0F1-006390,"Rental Car Center (RCC), Consolidated Rental Car
Facility CONRAC",Rental Car Center (RCC),Consolidated Rental Car,Boston,MA,Transit,2382,,,,
2016,3/11/16,Radio,FIO,,2016-GEU-000260,"301 WASHINGTON STREET, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,Male,44
2016,3/11/16,Radio,FIO,,2016-GEU-000260,"301 WASHINGTON STREET, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,Female,39
2016,3/11/16,Radio,FIO,,2016-GEU-000260,"301 WASHINGTON STREET, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,Male,34
2016,3/11/16,Radio,FIO,,2016-GEU-000260,"301 WASHINGTON STREET, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,Female,31
2016,3/11/16,Radio,FIO,Homeless Individual(s),2016-0H4-001655,"Bowker Overpass, BOSTON, MA
,",,Bowker Overpass,Boston,MA,Public,3065,,,,
2016,3/13/16,Telephone,FIO,Possible Drug Activity,2016-0D1-001268,"121 NANTASKET AVENUE,  Near pole #8 , HULL, MA
,",121 NANTASKET AVENUE,Near pole #8 ,Hull,MA,Public,3314,,,,
2016,3/14/16,In-person,FIO,Homeless Individual(s),2016-0H6-001532,"RAMP - RT 93 SB TO COLUMBIA RD & COLUMBIA ROAD, BOSTON, MA
,",RAMP - RT 93 SB TO COLUMBIA RD & COLUMBIA ROAD,,Boston,MA,Public,3541,,,,
2016,3/15/16,Radio,FIO,Homeless Individual(s),2016-0F1-006934,"Rental Car Center (RCC), Consolidated Rental Car
Facility CONRAC",Rental Car Center (RCC),Consolidated Rental Car,Boston,MA,Transit,3331,,,,
2016,3/16/16,Telephone,FIO,Homeless Individual(s),2016-0F1-007038,"BOSTON (Logan Airport): Checkpoint 3 Terminal B
U.S. Airways",BOSTON (Logan Airport): Checkpoint 3 Terminal B,Logan Airport,Boston,MA,Transit,0623,,,,
2016,3/17/16,Self-initiated,FIO,Possible Drug Activity,2016-0H4-001769,"OAKDALE STREET & CERINA ROAD, BOSTON, MA
,",OAKDALE STREET & CERINA ROAD,,Boston,MA,Public,2994,,,,
2016,3/17/16,Self-initiated,FIO,Possible Drug Activity,2016-0H4-001769,"OAKDALE STREET & CERINA ROAD, BOSTON, MA
,",OAKDALE STREET & CERINA ROAD,,Boston,MA,Public,2994,,,,24
2016,3/19/16,Radio,FIO,Possible Drug Activity,2016-GEU-000296,"301 WASHINGTON STREET,  PPC, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,3518,,,,
2016,3/21/16,Telephone,FIO,Homeless Individual(s),2016-0F1-007602,BOSTON (Logan Airport): Terminal C (Main),BOSTON (Logan Airport): Terminal C (Main),Logan Airport,Boston,MA,Transit,1343,,,,
2016,3/21/16,Telephone,FIO,Homeless Individual(s),2016-0F1-007602,BOSTON (Logan Airport): Terminal C (Main),BOSTON (Logan Airport): Terminal C (Main),Logan Airport,Boston,MA,Transit,2095,,,,
2016,3/23/16,,FIO,,2016-0F1-007900,"BOSTON (Logan Airport): Checkpoint 1 Terminal A
Delta",BOSTON (Logan Airport): Checkpoint 1 Terminal A,Logan Airport,Boston,MA,Transit,3261,,,,31
