Row Labels,Count of CaseNumber,,,,
2017-0H6-006227,4,,,,
2017-0H7-005417,4,,,,
2018-0A5-008614,4,,,,
2018-0C1-004002,4,,,,
2018-0C4-005579,4,,,,
2018-0D4-005558,4,,,,
2018-0D4-005734,4,,,,
2018-0E4-000541,4,,,,
2018-0F1-013003,4,,,,
2018-0F1-013441,4,,,,
2018-0F1-035059,4,,,,
2018-0F1-045796,4,,,,
2018-0F1-045909,4,,,,
2018-0H3-001624,4,,,,
2018-0H4-003986,4,,,,
2018-0H9-003310,4,,,,
2018-0H9-004125,4,,,,
2018-TST-000192,4,,,,
2019-0A3-008704,4,,,,
2019-0A5-005626,4,,,,
2019-0A5-005894,4,,,,
2019-0A5-007252,4,,,,
2019-0A6-000433,4,,,,
2019-0A6-010420,4,,,,
2019-0C4-003913,4,,,,
2019-0F1-007701,4,,,,
2019-0F1-007853,4,,,,
2019-0F1-010564,4,,,,
2019-0F1-013432,4,,,,
2019-0F1-014789,4,,,,
2019-0F1-018012,4,,,,
2019-0F1-018327,4,,,,
2019-0F1-018378,4,,,,
2019-0F1-019967,4,,,,
2019-0F1-034383,4,,,,
2019-0F1-038413,4,,,,
2019-0F1-052634,4,,,,
2019-0F1-057171,4,,,,
2019-0F1-057818,4,,,,
2019-0F1-058453,4,,,,
2019-0F1-059079,4,,,,
2019-0F1-059261,4,,,,
2019-0F1-059282,4,,,,
2019-0F1-060560,4,,,,
2019-0F1-060977,4,,,,
2019-0F1-064788,4,,,,
2019-0F1-068943,4,,,,
2019-0H6-004216,4,,,,
2019-0H6-008455,4,,,,
2019-0H9-002816,4,,,,
2019-0H9-009235,4,,,,
2019-0H9-009677,4,,,,
2019-0H9-009744,4,,,,
2019-0H9-009757,4,,,,
2019-0H9-012674,4,,,,
2020-0A5-003274,4,,,,
2020-0B6-011397,4,,,,
2020-0D3-010730,4,,,,
2020-0D3-011091,4,,,,
2020-0F1-003855,4,,,,
2020-0F1-009377,4,,,,
2020-0F1-009596,4,,,,
2020-0F1-010497,4,,,,
2020-0F1-013281,4,,,,
2020-0F1-014661,4,,,,
2020-0F1-017809,4,,,,
2020-0F1-018226,4,,,,
2020-0F1-019141,4,,,,
2020-0F1-019159,4,,,,
2020-0F1-020395,4,,,,
2020-0F1-021683,4,,,,
2020-0F1-025907,4,,,,
2020-0F1-028529,4,,,,
2020-0F1-029701,4,,,,
2020-0F1-032775,4,,,,
2020-0F1-032954,4,,,,
2020-0F1-033201,4,,,,
2020-0F1-036815,4,,,,
2020-0F1-040373,4,,,,
2020-0F1-040508,4,,,,
2020-0F1-047418,4,,,,
2020-0F1-048310,4,,,,
2020-0F1-053190,4,,,,
2020-0F1-053224,4,,,,
2020-0F1-054932,4,,,,
2020-0F1-055688,4,,,,
2020-0F1-055955,4,,,,
2020-0F1-056955,4,,,,
2020-0F1-057476,4,,,,
2020-0F1-058263,4,,,,
2020-0F1-058275,4,,,,
2020-0F1-058622,4,,,,
2020-0F1-059475,4,,,,
2020-0F1-059481,4,,,,
2020-0F1-062355,4,,,,
2020-0F1-062412,4,,,,
2020-0F1-063263,4,,,,
2020-0H3-002956,4,,,,
2020-0H4-003854,4,,,,
2020-0H4-007616,4,,,,
2020-0H4-008432,4,,,,
2020-0H6-008095,4,,,,
2020-0H6-008952,4,,,,
2020-0H9-001448,4,,,,
2020-0H9-002200,4,,,,
2020-0H9-007928,4,,,,
2020-0H9-008455,4,,,,
2020-0H9-010082,4,,,,
2021-0F1-001530,4,,,,
2021-0F1-003856,4,,,,
2021-0F1-005556,4,,,,
2021-0F1-008281,4,,,,
2021-0F1-009227,4,,,,
2021-0F1-009883,4,,,,
2021-0F1-009908,4,,,,
2021-0F1-010833,4,,,,
2021-0F1-012009,4,,,,
2021-0F1-014285,4,,,,
2021-0H9-001728,4,,,,
2021-0H9-002397,4,,,,
2021-0H9-003207,4,,,,
2021-TK9-000778,4,,,,
2016-0A2-006131,3,,,,
2016-0A4-004144,3,,,,
2016-0A6-007738,3,,,,
2016-0B3-005222,3,,,,
2016-0B5-002881,3,,,,
2016-0C2-012074,3,,,,
2016-0C6-009037,3,,,,
2016-0D3-002530,3,,,,
2016-0E4-000718,3,,,,
2016-0E4-001518,3,,,,
2016-0E4-002808,3,,,,
2016-0E4-004543,3,,,,
2016-0E4-006306,3,,,,
2016-0E4-007848,3,,,,
2016-0E4-008532,3,,,,
2016-0F1-002195,3,,,,
2016-0F1-004914,3,,,,
2016-0F1-009508,3,,,,
2016-0F1-022786,3,,,,
2016-0F1-028763,3,,,,
2016-0F1-039378,3,,,,
2016-0H2-006495,3,,,,
2016-0H4-004641,3,,,,
2016-0H4-007881,3,,,,
2016-0H6-003881,3,,,,
2016-0H7-006756,3,,,,
2017-0A2-001430,3,,,,
2017-0A5-002063,3,,,,
2017-0E4-002127,3,,,,
2017-0E4-003493,3,,,,
2017-0E4-005773,3,,,,
2017-0E4-006741,3,,,,
2017-0E4-007041,3,,,,
2017-0E4-009002,3,,,,
2017-0E4-010628,3,,,,
2017-0E4-011389,3,,,,
2017-0F1-033665,3,,,,
2017-0F1-034323,3,,,,
2017-0F1-042778,3,,,,
2017-0H3-002819,3,,,,
2017-0H4-003421,3,,,,
2017-0H5-003414,3,,,,
2017-0H7-004391,3,,,,
2018-0A2-002044,3,,,,
2018-0A4-002077,3,,,,
2018-0A4-007234,3,,,,
2018-0A5-006176,3,,,,
2018-0A5-008145,3,,,,
2018-0C5-004941,3,,,,
2018-0D4-006370,3,,,,
2018-0E4-002693,3,,,,
2018-0F1-001089,3,,,,
2018-0F1-008261,3,,,,
2018-0F1-008376,3,,,,
2018-0F1-009785,3,,,,
2018-0F1-012305,3,,,,
2018-0F1-013649,3,,,,
2018-0F1-018318,3,,,,
2018-0F1-028021,3,,,,
2018-0F1-028028,3,,,,
2018-0H3-001747,3,,,,
2018-0H4-002277,3,,,,
2018-0H6-005767,3,,,,
2018-0H6-007495,3,,,,
2018-0H9-002650,3,,,,
2018-0H9-006335,3,,,,
2018-0HH-001405,3,,,,
2018-GEU-001239,3,,,,
2019-0A1-009121,3,,,,
2019-0A4-002193,3,,,,
2019-0A6-010152,3,,,,
2019-0A6-010207,3,,,,
2019-0A6-010349,3,,,,
2019-0A6-010749,3,,,,
2019-0C4-002440,3,,,,
2019-0D3-001359,3,,,,
2019-0F1-003694,3,,,,
2019-0F1-004161,3,,,,
2019-0F1-004304,3,,,,
2019-0F1-007767,3,,,,
2019-0F1-011355,3,,,,
2019-0F1-012110,3,,,,
2019-0F1-016708,3,,,,
2019-0F1-019779,3,,,,
2019-0F1-031242,3,,,,
2019-0F1-038276,3,,,,
2019-0F1-041833,3,,,,
2019-0F1-044713,3,,,,
2019-0F1-047748,3,,,,
2019-0F1-049418,3,,,,
2019-0F1-050416,3,,,,
2019-0F1-053312,3,,,,
2019-0F1-061254,3,,,,
2019-0F1-062184,3,,,,
2019-0F1-062741,3,,,,
2019-0F1-063020,3,,,,
2019-0F1-064387,3,,,,
2019-0F1-066796,3,,,,
2019-0H4-008997,3,,,,
2019-0H9-007504,3,,,,
2019-0H9-008643,3,,,,
2019-0H9-009063,3,,,,
2019-0H9-009110,3,,,,
2019-0H9-009121,3,,,,
2019-0H9-010004,3,,,,
2019-0H9-013385,3,,,,
2019-GEE-000986,3,,,,
2020-0A4-001911,3,,,,
2020-0A5-004663,3,,,,
2020-0C6-001260,3,,,,
2020-0D4-006893,3,,,,
2020-0D4-007129,3,,,,
2020-0D4-009640,3,,,,
2020-0F1-005674,3,,,,
2020-0F1-008938,3,,,,
2020-0F1-010164,3,,,,
2020-0F1-010193,3,,,,
2020-0F1-010658,3,,,,
2020-0F1-011128,3,,,,
2020-0F1-011921,3,,,,
2020-0F1-012771,3,,,,
2020-0F1-013729,3,,,,
2020-0F1-014263,3,,,,
2020-0F1-015116,3,,,,
2020-0F1-017608,3,,,,
2020-0F1-018483,3,,,,
2020-0F1-019039,3,,,,
2020-0F1-022848,3,,,,
2020-0F1-023929,3,,,,
2020-0F1-024050,3,,,,
2020-0F1-027576,3,,,,
2020-0F1-042906,3,,,,
2020-0F1-047430,3,,,,
2020-0F1-047998,3,,,,
2020-0F1-048866,3,,,,
2020-0F1-049620,3,,,,
2020-0F1-049761,3,,,,
2020-0F1-051193,3,,,,
2020-0F1-051912,3,,,,
2020-0F1-052079,3,,,,
2020-0F1-053419,3,,,,
2020-0F1-054094,3,,,,
2020-0F1-054228,3,,,,
2020-0F1-055154,3,,,,
2020-0F1-057568,3,,,,
2020-0F1-057987,3,,,,
2020-0F1-059105,3,,,,
2020-0F1-059648,3,,,,
2020-0F1-059962,3,,,,
2020-0F1-060190,3,,,,
2020-0F1-060253,3,,,,
2020-0F1-060637,3,,,,
2020-0F1-060649,3,,,,
2020-0F1-061406,3,,,,
2020-0F1-061981,3,,,,
2020-0F1-062196,3,,,,
2020-0F1-063278,3,,,,
2020-0H1-002428,3,,,,
2020-0H2-000986,3,,,,
2020-0H4-001878,3,,,,
2020-0H4-003423,3,,,,
2020-0H4-004007,3,,,,
2020-0H4-004882,3,,,,
2020-0H4-004958,3,,,,
2020-0H4-006334,3,,,,
2020-0H4-007511,3,,,,
2020-0H4-009726,3,,,,
2020-0H4-009991,3,,,,
2020-0H4-011068,3,,,,
2020-0H4-011850,3,,,,
2020-0H4-014019,3,,,,
2020-0H4-014922,3,,,,
2020-0H6-002133,3,,,,
2020-0H6-004447,3,,,,
2020-0H6-007052,3,,,,
2020-0H6-007268,3,,,,
2020-0H6-008198,3,,,,
2020-0H9-001734,3,,,,
