Row Labels,Count of CaseNumber,,,,
2019-0H9-009646,2,,,,
2019-0H9-009763,2,,,,
2019-0H9-010371,2,,,,
2019-0H9-010400,2,,,,
2019-0H9-010440,2,,,,
2019-0H9-010473,2,,,,
2019-0H9-010556,2,,,,
2019-0H9-010723,2,,,,
2019-0H9-011378,2,,,,
2019-0H9-011391,2,,,,
2019-0H9-011457,2,,,,
2019-0H9-012075,2,,,,
2019-0H9-012360,2,,,,
2019-GEE-000343,2,,,,
2019-GES-000647,2,,,,
2019-GES-001686,2,,,,
2020-0A2-008638,2,,,,
2020-0A5-001641,2,,,,
2020-0A5-005228,2,,,,
2020-0A5-005486,2,,,,
2020-0A5-006955,2,,,,
2020-0C4-003089,2,,,,
2020-0C4-003268,2,,,,
2020-0C5-003176,2,,,,
2020-0D2-006326,2,,,,
2020-0D4-009344,2,,,,
2020-0D4-009592,2,,,,
2020-0F1-000214,2,,,,
2020-0F1-001192,2,,,,
2020-0F1-001853,2,,,,
2020-0F1-004525,2,,,,
2020-0F1-005682,2,,,,
2020-0F1-005688,2,,,,
2020-0F1-005714,2,,,,
2020-0F1-005738,2,,,,
2020-0F1-005925,2,,,,
2020-0F1-006761,2,,,,
2020-0F1-008555,2,,,,
2020-0F1-008923,2,,,,
2020-0F1-009225,2,,,,
2020-0F1-010458,2,,,,
2020-0F1-010582,2,,,,
2020-0F1-011093,2,,,,
2020-0F1-011650,2,,,,
2020-0F1-011987,2,,,,
2020-0F1-012341,2,,,,
2020-0F1-012752,2,,,,
2020-0F1-013119,2,,,,
2020-0F1-013429,2,,,,
2020-0F1-013626,2,,,,
2020-0F1-014005,2,,,,
2020-0F1-015231,2,,,,
2020-0F1-015271,2,,,,
2020-0F1-015329,2,,,,
2020-0F1-015687,2,,,,
2020-0F1-017362,2,,,,
2020-0F1-018110,2,,,,
2020-0F1-018493,2,,,,
2020-0F1-018898,2,,,,
2020-0F1-018968,2,,,,
2020-0F1-019051,2,,,,
2020-0F1-019144,2,,,,
2020-0F1-019201,2,,,,
2020-0F1-019225,2,,,,
2020-0F1-019227,2,,,,
2020-0F1-019748,2,,,,
2020-0F1-020000,2,,,,
2020-0F1-020393,2,,,,
2020-0F1-020741,2,,,,
2020-0F1-020848,2,,,,
2020-0F1-021264,2,,,,
2020-0F1-021568,2,,,,
2020-0F1-022356,2,,,,
2020-0F1-022654,2,,,,
2020-0F1-022684,2,,,,
2020-0F1-023985,2,,,,
2020-0F1-024247,2,,,,
2020-0F1-024333,2,,,,
2020-0F1-024448,2,,,,
2020-0F1-025087,2,,,,
2020-0F1-025088,2,,,,
2020-0F1-026085,2,,,,
2020-0F1-026993,2,,,,
2020-0F1-027369,2,,,,
2020-0F1-027518,2,,,,
2020-0F1-027601,2,,,,
2020-0F1-027677,2,,,,
2020-0F1-028418,2,,,,
2020-0F1-028444,2,,,,
2020-0F1-029616,2,,,,
2020-0F1-030402,2,,,,
2020-0F1-030484,2,,,,
2020-0F1-031273,2,,,,
2020-0F1-032657,2,,,,
2020-0F1-033247,2,,,,
2020-0F1-033572,2,,,,
2020-0F1-033654,2,,,,
2020-0F1-034420,2,,,,
2020-0F1-034738,2,,,,
2020-0F1-036002,2,,,,
2020-0F1-036344,2,,,,
2020-0F1-036854,2,,,,
2020-0F1-038667,2,,,,
2020-0F1-039343,2,,,,
2020-0F1-039991,2,,,,
2020-0F1-042725,2,,,,
2020-0F1-045476,2,,,,
2020-0F1-045481,2,,,,
2020-0F1-045797,2,,,,
2020-0F1-046489,2,,,,
2020-0F1-046513,2,,,,
2020-0F1-046555,2,,,,
2020-0F1-047513,2,,,,
2020-0F1-047678,2,,,,
2020-0F1-047954,2,,,,
2020-0F1-048275,2,,,,
2020-0F1-048913,2,,,,
2020-0F1-049829,2,,,,
2020-0F1-049936,2,,,,
2020-0F1-049985,2,,,,
2020-0F1-050100,2,,,,
2020-0F1-050285,2,,,,
2020-0F1-050456,2,,,,
2020-0F1-050810,2,,,,
2020-0F1-050829,2,,,,
2020-0F1-050988,2,,,,
2020-0F1-051281,2,,,,
2020-0F1-051588,2,,,,
2020-0F1-051589,2,,,,
2020-0F1-051842,2,,,,
2020-0F1-051910,2,,,,
2020-0F1-052582,2,,,,
2020-0F1-052615,2,,,,
2020-0F1-052743,2,,,,
2020-0F1-052849,2,,,,
2020-0F1-053090,2,,,,
2020-0F1-053214,2,,,,
2020-0F1-053697,2,,,,
2020-0F1-053832,2,,,,
2020-0F1-053886,2,,,,
2020-0F1-053920,2,,,,
2020-0F1-054122,2,,,,
2020-0F1-054600,2,,,,
2020-0F1-054625,2,,,,
2020-0F1-054659,2,,,,
2020-0F1-055076,2,,,,
2020-0F1-055215,2,,,,
2020-0F1-055324,2,,,,
2020-0F1-055669,2,,,,
2020-0F1-055674,2,,,,
2020-0F1-055830,2,,,,
2020-0F1-056253,2,,,,
2020-0F1-056379,2,,,,
2020-0F1-056642,2,,,,
2020-0F1-056760,2,,,,
2020-0F1-057021,2,,,,
2020-0F1-057083,2,,,,
2020-0F1-057287,2,,,,
2020-0F1-057477,2,,,,
2020-0F1-057810,2,,,,
2020-0F1-057969,2,,,,
2020-0F1-057981,2,,,,
2020-0F1-058113,2,,,,
2020-0F1-058165,2,,,,
2020-0F1-058410,2,,,,
2020-0F1-058731,2,,,,
2020-0F1-058984,2,,,,
2020-0F1-059151,2,,,,
2020-0F1-059568,2,,,,
2020-0F1-059583,2,,,,
2020-0F1-059654,2,,,,
2020-0F1-059824,2,,,,
2020-0F1-059936,2,,,,
2020-0F1-060502,2,,,,
2020-0F1-060620,2,,,,
2020-0F1-060805,2,,,,
2020-0F1-060865,2,,,,
2020-0F1-060971,2,,,,
2020-0F1-061230,2,,,,
2020-0F1-061571,2,,,,
2020-0F1-061659,2,,,,
2020-0F1-061958,2,,,,
2020-0F1-062050,2,,,,
2020-0F1-062194,2,,,,
2020-0F1-062220,2,,,,
2020-0F1-062367,2,,,,
2020-0F1-062479,2,,,,
2020-0F1-063446,2,,,,
2020-0F1-063494,2,,,,
2020-0F1-063754,2,,,,
2020-0F1-063975,2,,,,
2020-0F1-064069,2,,,,
2020-0F1-064188,2,,,,
2020-0F1-064286,2,,,,
2020-0F1-064365,2,,,,
2020-0F1-064638,2,,,,
2020-0F1-064670,2,,,,
2020-0F1-064830,2,,,,
2020-0H1-001936,2,,,,
2020-0H1-002442,2,,,,
2020-0H1-002895,2,,,,
2020-0H1-002996,2,,,,
2020-0H4-000886,2,,,,
2020-0H4-000932,2,,,,
2020-0H4-001228,2,,,,
2020-0H4-001662,2,,,,
2020-0H4-001867,2,,,,
2020-0H4-001916,2,,,,
2020-0H4-002956,2,,,,
2020-0H4-003265,2,,,,
2020-0H4-003294,2,,,,
2020-0H4-003400,2,,,,
2020-0H4-003459,2,,,,
2020-0H4-003849,2,,,,
2020-0H4-003864,2,,,,
2020-0H4-003895,2,,,,
2020-0H4-003974,2,,,,
2020-0H4-004015,2,,,,
2020-0H4-004017,2,,,,
2020-0H4-004067,2,,,,
2020-0H4-004075,2,,,,
2020-0H4-004159,2,,,,
2020-0H4-004197,2,,,,
2020-0H4-004198,2,,,,
2020-0H4-004213,2,,,,
2020-0H4-004398,2,,,,
2020-0H4-004525,2,,,,
2020-0H4-004864,2,,,,
2020-0H4-005217,2,,,,
2020-0H4-005231,2,,,,
2020-0H4-005751,2,,,,
2020-0H4-005888,2,,,,
2020-0H4-006272,2,,,,
2020-0H4-006283,2,,,,
2020-0H4-006286,2,,,,
2020-0H4-006321,2,,,,
2020-0H4-006794,2,,,,
2020-0H4-006982,2,,,,
2020-0H4-007065,2,,,,
2020-0H4-007353,2,,,,
2020-0H4-007366,2,,,,
2020-0H4-007875,2,,,,
2020-0H4-008080,2,,,,
2020-0H4-008123,2,,,,
2020-0H4-008127,2,,,,
2020-0H4-008323,2,,,,
2020-0H4-008550,2,,,,
2020-0H4-008651,2,,,,
2020-0H4-008701,2,,,,
2020-0H4-008782,2,,,,
2020-0H4-009274,2,,,,
2020-0H4-009524,2,,,,
2020-0H4-009625,2,,,,
2020-0H4-009758,2,,,,
2020-0H4-010011,2,,,,
2020-0H4-010019,2,,,,
2020-0H4-010115,2,,,,
2020-0H4-010945,2,,,,
2020-0H4-011099,2,,,,
2020-0H4-011602,2,,,,
2020-0H4-011848,2,,,,
2020-0H4-011898,2,,,,
2020-0H4-011913,2,,,,
2020-0H4-011942,2,,,,
2020-0H4-013127,2,,,,
2020-0H4-013656,2,,,,
2020-0H4-013729,2,,,,
2020-0H4-013974,2,,,,
2020-0H4-014404,2,,,,
2020-0H6-005693,2,,,,
2020-0H6-006262,2,,,,
2020-0H6-006290,2,,,,
2020-0H6-006303,2,,,,
2020-0H6-006600,2,,,,
2020-0H6-006881,2,,,,
2020-0H6-007311,2,,,,
2020-0H6-007654,2,,,,
2020-0H6-007706,2,,,,
2020-0H6-007711,2,,,,
2020-0H6-007947,2,,,,
2020-0H6-008861,2,,,,
2020-0H7-001515,2,,,,
2020-0H7-005247,2,,,,
2020-0H7-006398,2,,,,
2020-0H9-000099,2,,,,
2020-0H9-001186,2,,,,
2020-0H9-001249,2,,,,
2020-0H9-002191,2,,,,
2020-0H9-002196,2,,,,
2020-0H9-002631,2,,,,
2020-0H9-002763,2,,,,
2020-0H9-002780,2,,,,
2020-0H9-002812,2,,,,
2020-0H9-004141,2,,,,
2020-0H9-004149,2,,,,
2020-0H9-004312,2,,,,
2020-0H9-004351,2,,,,
2020-0H9-004374,2,,,,
2020-0H9-005745,2,,,,
2020-0H9-006056,2,,,,
2020-0H9-006536,2,,,,
2020-0H9-006850,2,,,,
2020-0H9-009649,2,,,,
2020-0H9-010161,2,,,,
2020-TK9-000446,2,,,,
2020-TK9-001490,2,,,,
2020-TK9-001666,2,,,,
2020-TK9-002431,2,,,,
2020-TST-000147,2,,,,
2021-0A5-002305,2,,,,
2021-0D4-000417,2,,,,
2021-0D4-001100,2,,,,
2021-0F1-000211,2,,,,
2021-0F1-000233,2,,,,
2021-0F1-000573,2,,,,
2021-0F1-000733,2,,,,
2021-0F1-000751,2,,,,
2021-0F1-001400,2,,,,
2021-0F1-001631,2,,,,
2021-0F1-001707,2,,,,
2021-0F1-002025,2,,,,
2021-0F1-002170,2,,,,
2021-0F1-002570,2,,,,
2021-0F1-002759,2,,,,
2021-0F1-003080,2,,,,
2021-0F1-003081,2,,,,
2021-0F1-003219,2,,,,
2021-0F1-003245,2,,,,
2021-0F1-003285,2,,,,
2021-0F1-003762,2,,,,
2021-0F1-004153,2,,,,
2021-0F1-004216,2,,,,
2021-0F1-004345,2,,,,
2021-0F1-004468,2,,,,
2021-0F1-004857,2,,,,
2021-0F1-004897,2,,,,
2021-0F1-005102,2,,,,
2021-0F1-005450,2,,,,
2021-0F1-005483,2,,,,
2021-0F1-005526,2,,,,
2021-0F1-005545,2,,,,
2021-0F1-005705,2,,,,
2021-0F1-006062,2,,,,
2021-0F1-006524,2,,,,
2021-0F1-007174,2,,,,
2021-0F1-007186,2,,,,
2021-0F1-007471,2,,,,
2021-0F1-007532,2,,,,
2021-0F1-007649,2,,,,
2021-0F1-008057,2,,,,
2021-0F1-008080,2,,,,
2021-0F1-008974,2,,,,
2021-0F1-009490,2,,,,
2021-0F1-010001,2,,,,
2021-0F1-010396,2,,,,
2021-0F1-012673,2,,,,
2021-0F1-014281,2,,,,
2021-0F1-014598,2,,,,
2021-0F1-014952,2,,,,
2021-0F1-015149,2,,,,
2021-0F1-015543,2,,,,
2021-0F1-015611,2,,,,
2021-0F1-015655,2,,,,
2021-0F1-015882,2,,,,
2021-0F1-016120,2,,,,
2021-0F1-016490,2,,,,
2021-0F1-016814,2,,,,
2021-0F1-016848,2,,,,
2021-0F1-017061,2,,,,
2021-0F1-017392,2,,,,
2021-0F1-017422,2,,,,
2021-0F1-017539,2,,,,
2021-0F1-017729,2,,,,
2021-0F1-017891,2,,,,
2021-0F1-018119,2,,,,
2021-0F1-018237,2,,,,
2021-0F1-018333,2,,,,
2021-0F1-018727,2,,,,
2021-0F1-018901,2,,,,
2021-0F1-019594,2,,,,
2021-0H1-000053,2,,,,
2021-0H4-000248,2,,,,
2021-0H4-002217,2,,,,
2021-0H4-002454,2,,,,
2021-0H4-002733,2,,,,
2021-0H4-003132,2,,,,
2021-0H4-003239,2,,,,
2021-0H4-003419,2,,,,
2021-0H4-003977,2,,,,
2021-0H4-004243,2,,,,
2021-0H4-004409,2,,,,
2021-0H4-004813,2,,,,
2021-0H6-000773,2,,,,
2021-0H6-002087,2,,,,
2021-0H9-000204,2,,,,
2021-0H9-000638,2,,,,
2021-0H9-001819,2,,,,
2021-0H9-002365,2,,,,
2021-0H9-002530,2,,,,
2021-0H9-002535,2,,,,
2021-TK9-000768,2,,,,
2016-0A1-007823,1,,,,
2016-0A1-009753,1,,,,
2016-0A1-009783,1,,,,
2016-0A4-005258,1,,,,
2016-0A4-005422,1,,,,
2016-0A4-005516,1,,,,
2016-0A5-005566,1,,,,
2016-0A5-006193,1,,,,
2016-0A6-005757,1,,,,
2016-0AH-000809,1,,,,
2016-0B6-005259,1,,,,
2016-0C3-003122,1,,,,
2016-0C4-003336,1,,,,
2016-0C5-001034,1,,,,
2016-0C5-001432,1,,,,
2016-0C5-002622,1,,,,
2016-0C5-003561,1,,,,
2016-0D1-001268,1,,,,
2016-0D2-001242,1,,,,
2016-0D3-001459,1,,,,
2016-0D3-002194,1,,,,
2016-0D3-005357,1,,,,
2016-0D3-005379,1,,,,
2016-0D4-002811,1,,,,
2016-0D4-004402,1,,,,
2016-0D4-004403,1,,,,
2016-0D4-004652,1,,,,
2016-0D4-004723,1,,,,
2016-0D4-004837,1,,,,
2016-0D4-004991,1,,,,
2016-0D4-005096,1,,,,
2016-0D4-005329,1,,,,
2016-0D4-005470,1,,,,
2016-0D4-005595,1,,,,
2016-0E2-005793,1,,,,
2016-0E4-004555,1,,,,
2016-0E4-006720,1,,,,
2016-0E4-006850,1,,,,
2016-0E4-006966,1,,,,
2016-0E4-007135,1,,,,
2016-0E4-008220,1,,,,
2016-0E4-009830,1,,,,
2016-0E4-011027,1,,,,
2016-0F1-001657,1,,,,
2016-0F1-005809,1,,,,
2016-0F1-006390,1,,,,
2016-0F1-006934,1,,,,
2016-0F1-007038,1,,,,
2016-0F1-007933,1,,,,
2016-0F1-008164,1,,,,
2016-0F1-009069,1,,,,
2016-0F1-009450,1,,,,
2016-0F1-010733,1,,,,
2016-0F1-011011,1,,,,
2016-0F1-011241,1,,,,
2016-0F1-012135,1,,,,
2016-0F1-012227,1,,,,
2016-0F1-012497,1,,,,
2016-0F1-013307,1,,,,
2016-0F1-013546,1,,,,
2016-0F1-014691,1,,,,
2016-0F1-019828,1,,,,
2016-0F1-021004,1,,,,
2016-0F1-023210,1,,,,
2016-0F1-025714,1,,,,
2016-0F1-026471,1,,,,
2016-0F1-029986,1,,,,
2016-0F1-030777,1,,,,
2016-0F1-032781,1,,,,
2016-0F1-034548,1,,,,
2016-0F1-036653,1,,,,
2016-0F1-037941,1,,,,
2016-0F1-038055,1,,,,
2016-0F1-039476,1,,,,
2016-0F1-040201,1,,,,
2016-0F1-040394,1,,,,
2016-0F1-040645,1,,,,
2016-0H3-000628,1,,,,
2016-0H3-001123,1,,,,
2016-0H3-003381,1,,,,
2016-0H3-003383,1,,,,
2016-0H3-005800,1,,,,
2016-0H3-005867,1,,,,
2016-0H3-005869,1,,,,
2016-0H3-005997,1,,,,
2016-0H3-006002,1,,,,
2016-0H3-006320,1,,,,
2016-0H3-007349,1,,,,
2016-0H3-007874,1,,,,
2016-0H4-000386,1,,,,
2016-0H4-000426,1,,,,
2016-0H4-000833,1,,,,
2016-0H4-001146,1,,,,
2016-0H4-001355,1,,,,
2016-0H4-001655,1,,,,
2016-0H4-001940,1,,,,
2016-0H4-002206,1,,,,
2016-0H4-002303,1,,,,
2016-0H4-002530,1,,,,
2016-0H4-002576,1,,,,
2016-0H4-002669,1,,,,
2016-0H4-002846,1,,,,
2016-0H4-003010,1,,,,
2016-0H4-003083,1,,,,
2016-0H4-003131,1,,,,
2016-0H4-003220,1,,,,
2016-0H4-003244,1,,,,
2016-0H4-003598,1,,,,
2016-0H4-003725,1,,,,
2016-0H4-003818,1,,,,
2016-0H4-004400,1,,,,
2016-0H4-004528,1,,,,
2016-0H4-004532,1,,,,
2016-0H4-004633,1,,,,
2016-0H4-004842,1,,,,
2016-0H4-004849,1,,,,
2016-0H4-005056,1,,,,
2016-0H4-005290,1,,,,
2016-0H4-005503,1,,,,
2016-0H4-005845,1,,,,
2016-0H4-006129,1,,,,
2016-0H4-006498,1,,,,
2016-0H4-006627,1,,,,
2016-0H4-006766,1,,,,
2016-0H4-007328,1,,,,
2016-0H4-007630,1,,,,
2016-0H4-007786,1,,,,
2016-0H5-001534,1,,,,
2016-0H5-002571,1,,,,
2016-0H5-003851,1,,,,
2016-0H5-004561,1,,,,
2016-0H5-004585,1,,,,
2016-0H5-006302,1,,,,
2016-0H5-008153,1,,,,
2016-0H5-008488,1,,,,
2016-0H5-008683,1,,,,
2016-0H5-009411,1,,,,
2016-0H6-000101,1,,,,
2016-0H6-001170,1,,,,
2016-0H6-001375,1,,,,
2016-0H6-001377,1,,,,
2016-0H6-001532,1,,,,
2016-0H6-001746,1,,,,
2016-0H6-001929,1,,,,
2016-0H6-002013,1,,,,
2016-0H6-002500,1,,,,
2016-0H6-002850,1,,,,
2016-0H6-003192,1,,,,
2016-0H6-003228,1,,,,
2016-0H6-003348,1,,,,
2016-0H6-003686,1,,,,
2016-0H6-003737,1,,,,
2016-0H6-003742,1,,,,
2016-0H6-003743,1,,,,
2016-0H6-003932,1,,,,
2016-0H6-003979,1,,,,
2016-0H6-004478,1,,,,
2016-0H6-004615,1,,,,
2016-0H6-004632,1,,,,
2016-0H6-004793,1,,,,
2016-0H6-005318,1,,,,
2016-0H6-005937,1,,,,
2016-0H6-006080,1,,,,
2016-0H6-006306,1,,,,
2016-0H6-006378,1,,,,
2016-0H6-006570,1,,,,
2016-0H6-007093,1,,,,
2016-0H7-006121,1,,,,
2016-0H7-006806,1,,,,
2016-GEU-000296,1,,,,
2016-GEU-000857,1,,,,
2016-GEU-000904,1,,,,
2016-GEU-001138,1,,,,
2016-GEU-001200,1,,,,
2016-GEU-001261,1,,,,
2016-GEU-001346,1,,,,
2016-GEU-001467,1,,,,
2016-GEU-001689,1,,,,
2017-0A1-000062,1,,,,
2017-0A1-005487,1,,,,
2017-0A2-003357,1,,,,
2017-0A2-004131,1,,,,
2017-0A2-006188,1,,,,
2017-0A3-001033,1,,,,
2017-0A3-001647,1,,,,
2017-0A4-000687,1,,,,
2017-0A4-004590,1,,,,
2017-0A4-007844,1,,,,
2017-0A5-001225,1,,,,
2017-0A5-002059,1,,,,
2017-0A5-002097,1,,,,
2017-0A5-002170,1,,,,
2017-0A5-002179,1,,,,
2017-0A5-002235,1,,,,
2017-0A5-002680,1,,,,
2017-0A5-004786,1,,,,
2017-0A5-005026,1,,,,
2017-0A5-005101,1,,,,
2017-0A5-005635,1,,,,
2017-0A5-006893,1,,,,
2017-0A6-005573,1,,,,
2017-0A6-008351,1,,,,
2017-0AH-000443,1,,,,
2017-0AH-001018,1,,,,
2017-0B1-004255,1,,,,
2017-0B1-007058,1,,,,
2017-0B1-007947,1,,,,
2017-0B2-005132,1,,,,
2017-0B2-005173,1,,,,
2017-0B4-003357,1,,,,
2017-0BH-000752,1,,,,
2017-0BH-000758,1,,,,
2017-0C1-006344,1,,,,
2017-0C2-001943,1,,,,
2017-0C5-001767,1,,,,
2017-0C5-002022,1,,,,
2017-0C7-001500,1,,,,
2017-0D1-000603,1,,,,
2017-0D4-000819,1,,,,
2017-0D4-001245,1,,,,
2017-0D4-003022,1,,,,
2017-0D4-003352,1,,,,
2017-0D4-003478,1,,,,
2017-0D4-003673,1,,,,
2017-0D4-003764,1,,,,
2017-0D4-003875,1,,,,
2017-0D4-004397,1,,,,
2017-0D4-004947,1,,,,
2017-0D4-005008,1,,,,
2017-0D4-005058,1,,,,
2017-0D4-005438,1,,,,
2017-0D4-005441,1,,,,
2017-0DH-001292,1,,,,
2017-0E1-003193,1,,,,
2017-0E4-004729,1,,,,
2017-0E4-004979,1,,,,
2017-0E4-006574,1,,,,
2017-0E4-007432,1,,,,
2017-0E4-007898,1,,,,
2017-0E4-008128,1,,,,
2017-0E4-008129,1,,,,
2017-0E4-008302,1,,,,
2017-0E4-008978,1,,,,
2017-0E4-009176,1,,,,
2017-0E4-009268,1,,,,
2017-0E4-009291,1,,,,
2017-0E4-009707,1,,,,
2017-0E4-011387,1,,,,
2017-0E4-011391,1,,,,
2017-0F1-000870,1,,,,
2017-0F1-001332,1,,,,
2017-0F1-007374,1,,,,
2017-0F1-008580,1,,,,
2017-0F1-009475,1,,,,
2017-0F1-011893,1,,,,
2017-0F1-013225,1,,,,
2017-0F1-016389,1,,,,
2017-0F1-016448,1,,,,
2017-0F1-016899,1,,,,
2017-0F1-018478,1,,,,
2017-0F1-018807,1,,,,
2017-0F1-019460,1,,,,
2017-0F1-020810,1,,,,
2017-0F1-023505,1,,,,
2017-0F1-023638,1,,,,
2017-0F1-038277,1,,,,
2017-0F1-038576,1,,,,
2017-0F1-040084,1,,,,
2017-0F1-041277,1,,,,
2017-0F1-044413,1,,,,
2017-0F1-045651,1,,,,
2017-0H1-002170,1,,,,
2017-0H3-000262,1,,,,
2017-0H3-000819,1,,,,
2017-0H3-000862,1,,,,
2017-0H3-001182,1,,,,
2017-0H3-002795,1,,,,
2017-0H3-004887,1,,,,
2017-0H3-005243,1,,,,
2017-0H3-006784,1,,,,
2017-0H3-008127,1,,,,
2017-0H4-000218,1,,,,
2017-0H4-000936,1,,,,
2017-0H4-001913,1,,,,
2017-0H4-002145,1,,,,
2017-0H4-002684,1,,,,
2017-0H4-003041,1,,,,
2017-0H4-003160,1,,,,
2017-0H4-003289,1,,,,
2017-0H4-003312,1,,,,
2017-0H4-003394,1,,,,
2017-0H4-003406,1,,,,
2017-0H4-003533,1,,,,
2017-0H4-003590,1,,,,
2017-0H4-003591,1,,,,
2017-0H4-003784,1,,,,
2017-0H4-003801,1,,,,
2017-0H4-003831,1,,,,
2017-0H4-003850,1,,,,
2017-0H4-003852,1,,,,
2017-0H4-004004,1,,,,
2017-0H4-004039,1,,,,
2017-0H4-004069,1,,,,
2017-0H4-004152,1,,,,
2017-0H4-004160,1,,,,
2017-0H4-004308,1,,,,
2017-0H4-004340,1,,,,
2017-0H4-004481,1,,,,
2017-0H4-004492,1,,,,
2017-0H4-004535,1,,,,
2017-0H4-004736,1,,,,
2017-0H4-004738,1,,,,
2017-0H4-004815,1,,,,
2017-0H4-004841,1,,,,
2017-0H4-004958,1,,,,
2017-0H4-005079,1,,,,
2017-0H4-005080,1,,,,
2017-0H4-005161,1,,,,
2017-0H4-005172,1,,,,
2017-0H4-005242,1,,,,
2017-0H4-005334,1,,,,
2017-0H4-005563,1,,,,
2017-0H4-005644,1,,,,
2017-0H4-005661,1,,,,
2017-0H4-005690,1,,,,
2017-0H4-005732,1,,,,
2017-0H4-005766,1,,,,
2017-0H4-005786,1,,,,
2017-0H4-005896,1,,,,
2017-0H4-005934,1,,,,
2017-0H4-005960,1,,,,
2017-0H4-005995,1,,,,
2017-0H4-006012,1,,,,
2017-0H4-006199,1,,,,
2017-0H4-006364,1,,,,
2017-0H4-006568,1,,,,
2017-0H4-006803,1,,,,
2017-0H4-006939,1,,,,
2017-0H5-000848,1,,,,
2017-0H5-003386,1,,,,
2017-0H5-003738,1,,,,
2017-0H5-004547,1,,,,
2017-0H5-005686,1,,,,
2017-0H5-006308,1,,,,
2017-0H5-006320,1,,,,
2017-0H5-006993,1,,,,
2017-0H5-007032,1,,,,
2017-0H5-007620,1,,,,
2017-0H5-009145,1,,,,
2017-0H6-001787,1,,,,
2017-0H6-002145,1,,,,
2017-0H6-002183,1,,,,
2017-0H6-002652,1,,,,
2017-0H6-003448,1,,,,
2017-0H6-004456,1,,,,
2017-0H6-005196,1,,,,
2017-0H6-005242,1,,,,
2017-0H6-005311,1,,,,
2017-0H6-005315,1,,,,
2017-0H6-005481,1,,,,
2017-0H6-005818,1,,,,
2017-0H6-006815,1,,,,
2017-0H7-003147,1,,,,
2017-0H7-003891,1,,,,
2017-0H7-004322,1,,,,
2017-0H7-004338,1,,,,
2017-0H7-004348,1,,,,
2017-0H7-004518,1,,,,
2017-0H7-005523,1,,,,
2017-0H7-005657,1,,,,
2017-0H7-005858,1,,,,
2017-0H7-006432,1,,,,
2017-GEU-000127,1,,,,
2017-GEU-001888,1,,,,
2017-GEU-002590,1,,,,
2018-0A1-012334,1,,,,
2018-0A4-001213,1,,,,
2018-0A4-003858,1,,,,
2018-0A4-006659,1,,,,
2018-0A5-003408,1,,,,
2018-0A5-003470,1,,,,
2018-0A5-004475,1,,,,
2018-0A5-004478,1,,,,
2018-0A5-005144,1,,,,
2018-0A5-005938,1,,,,
2018-0A5-006063,1,,,,
2018-0A5-007083,1,,,,
2018-0A5-008584,1,,,,
2018-0A6-003901,1,,,,
2018-0A6-003947,1,,,,
2018-0A6-006073,1,,,,
2018-0A6-007592,1,,,,
2018-0A6-007696,1,,,,
2018-0B2-001086,1,,,,
2018-0B3-006894,1,,,,
2018-0B3-008974,1,,,,
2018-0B4-003472,1,,,,
2018-0B6-003718,1,,,,
2018-0B6-008704,1,,,,
2018-0BH-000838,1,,,,
2018-0C5-000008,1,,,,
2018-0C5-000063,1,,,,
2018-0C5-005063,1,,,,
2018-0C6-003836,1,,,,
2018-0C7-003506,1,,,,
2018-0C7-005032,1,,,,
2018-0C9-003504,1,,,,
2018-0C9-003625,1,,,,
2018-0CX-003904,1,,,,
2018-0D2-002672,1,,,,
2018-0D3-002989,1,,,,
2018-0D4-001681,1,,,,
2018-0D4-002436,1,,,,
2018-0D4-002511,1,,,,
2018-0D4-002534,1,,,,
2018-0D4-002669,1,,,,
2018-0D4-002705,1,,,,
2018-0D4-002902,1,,,,
2018-0D4-002904,1,,,,
2018-0D4-003731,1,,,,
2018-0D4-003924,1,,,,
2018-0D4-004102,1,,,,
2018-0D4-005193,1,,,,
2018-0D4-005194,1,,,,
2018-0D4-005555,1,,,,
2018-0D4-006892,1,,,,
2018-0D4-007146,1,,,,
2018-0D4-007346,1,,,,
2018-0D4-007789,1,,,,
2018-0D7-004467,1,,,,
2018-0D7-007372,1,,,,
2018-0D7-007530,1,,,,
2018-0D7-007737,1,,,,
2018-0DH-000696,1,,,,
2018-0DH-000819,1,,,,
2018-0E1-002938,1,,,,
2018-0E4-001162,1,,,,
2018-0E4-001814,1,,,,
2018-0F1-000176,1,,,,
2018-0F1-000540,1,,,,
2018-0F1-000548,1,,,,
2018-0F1-002464,1,,,,
2018-0F1-002497,1,,,,
2018-0F1-002714,1,,,,
2018-0F1-005273,1,,,,
2018-0F1-005762,1,,,,
2018-0F1-005983,1,,,,
2018-0F1-006050,1,,,,
2018-0F1-006878,1,,,,
2018-0F1-007395,1,,,,
2018-0F1-007719,1,,,,
2018-0F1-007733,1,,,,
2018-0F1-007886,1,,,,
2018-0F1-008548,1,,,,
2018-0F1-008660,1,,,,
2018-0F1-009880,1,,,,
2018-0F1-010869,1,,,,
2018-0F1-011191,1,,,,
2018-0F1-012301,1,,,,
2018-0F1-012474,1,,,,
2018-0F1-012872,1,,,,
2018-0F1-012903,1,,,,
2018-0F1-013014,1,,,,
2018-0F1-013022,1,,,,
2018-0F1-013409,1,,,,
2018-0F1-013789,1,,,,
2018-0F1-014662,1,,,,
2018-0F1-014776,1,,,,
2018-0F1-014933,1,,,,
2018-0F1-015822,1,,,,
2018-0F1-016477,1,,,,
2018-0F1-016479,1,,,,
