Sex,Age,Race,Ethnicity,Location,Date/Time,Source,Search,Outcome,Officer,Badge,Other Officer,Other Badge
MALE,40,WHITE,NOT OF HISPANIC ORIGIN,137 QUINCY ST,6/2/20 13:59,FIREWORKS,,,"MENZ, JAMES",5298,,
MALE,49,WHITE,NOT OF HISPANIC ORIGIN,550 VICTORY RD,6/2/20 12:00,,,,"MENZ, JAMES",5298,,
FEMALE,30,WHITE,NOT OF HISPANIC ORIGIN,55 PRESIDENTS AV,6/11/20 8:00,,,,", ",,,
MALE,37,WHITE,NOT OF HISPANIC ORIGIN,401 QUINCY SHORE DR,6/9/20 1:50,,,,"REILLY, MICHAEL",5889,,
MALE,42,WHITE,NOT OF HISPANIC ORIGIN,401 QUINCY SHORE DR,6/9/20 1:50,,,,"REILLY, MICHAEL",5889,,
MALE,22,WHITE,HISPANIC ORIGIN,173 RICCIUTI DR,6/10/20 0:30,,,,"LE, THIEN",5980,,
MALE,27,BLACK,NOT OF HISPANIC ORIGIN,,6/16/20 5:27,,,,"MENZ, JAMES",5298,,
MALE,34,BLACK,NOT OF HISPANIC ORIGIN,247 CENTRAL AV N,7/1/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,51,WHITE,NOT OF HISPANIC ORIGIN,0 FURNACE BROOK PRKWY,7/2/20 12:30,1%ER BIKER,,,"MENZ, JAMES",5298,,
MALE,39,WHITE,NOT OF HISPANIC ORIGIN,330 HANCOCK ST,7/2/20 12:45,,,,"MENZ, JAMES",5298,,
MALE,39,WHITE,HISPANIC ORIGIN,239 INDEPENDENCE AV,7/4/20 5:36,,,,"WALKER, JOSHUA",9998,,
FEMALE,39,WHITE,NOT OF HISPANIC ORIGIN,,7/11/20 8:00,TIP,,,"MENZ, JAMES",5298,,
MALE,41,WHITE,NOT OF HISPANIC ORIGIN,,7/11/20 8:00,TIP,,,"MENZ, JAMES",5298,,
MALE,53,WHITE,NOT OF HISPANIC ORIGIN,,7/11/20 11:00,CRYSTAL METH DEALER,,,"MENZ, JAMES",5298,,
MALE,50,WHITE,NOT OF HISPANIC ORIGIN,18 POPLAR RD,7/3/20 16:00,,,,"MENZ, JAMES",5298,,
FEMALE,22,WHITE,NOT OF HISPANIC ORIGIN,39 SUOMI RD,7/12/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,37,BLACK,UNKNOWN,39 SUOMI RD,7/12/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,40,WHITE,NOT OF HISPANIC ORIGIN,333 RICCIUTI DR,7/15/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,21,WHITE,NOT OF HISPANIC ORIGIN,15 ANDERSON RD,7/16/20 10:00,,,,"TOBIN, KEVIN",6208,,
MALE,22,WHITE,NOT OF HISPANIC ORIGIN,15 ANDERSON RD,7/16/20 10:00,,,,"TOBIN, KEVIN",6208,,
FEMALE,47,WHITE,NOT OF HISPANIC ORIGIN,18 POPLAR RD,7/16/20 18:00,,,,"MENZ, JAMES",5298,,
MALE,16,WHITE,NOT OF HISPANIC ORIGIN,,7/20/20 8:00,POSSIBLE GANG AFFILIATION,,,"MENZ, JAMES",5298,,
MALE,36,WHITE,NOT OF HISPANIC ORIGIN,,7/22/20 13:45,,,,"MENZ, JAMES",5298,,
FEMALE,29,WHITE,NOT OF HISPANIC ORIGIN,64 ROYAL ST,7/25/20 23:00,FELONY ARREST IN PROVIDENCE RI,,,"MENZ, JAMES",5298,,
FEMALE,35,WHITE,NOT OF HISPANIC ORIGIN,17 DAYTON ST,7/31/20 7:45,,,,"MENZ, JAMES",5298,,
MALE,32,WHITE,NOT OF HISPANIC ORIGIN,17 DAYTON ST,7/31/20 7:45,,,,"MENZ, JAMES",5298,,
MALE,39,WHITE,NOT OF HISPANIC ORIGIN,17 DAYTON ST,7/31/20 7:45,,,,"MENZ, JAMES",5298,,
MALE,27,BLACK,UNKNOWN,115 MERRYMOUNT RD,8/6/20 9:09,MURDER VICTIM,,,"MENZ, JAMES",5298,,
MALE,35,BLACK,NOT OF HISPANIC ORIGIN,133 TAFFRAIL RD,8/13/20 19:00,,,,"DONNELLY, RYAN",5528,,
MALE,41,BLACK,UNKNOWN,133 TAFFRAIL RD,8/13/20 19:00,,,,"DONNELLY, RYAN",5528,,
MALE,18,BLACK,NOT OF HISPANIC ORIGIN,32 PALMER ST,8/13/20 17:59,FIREARM/DRUG DISTR ARREST,,,"MENZ, JAMES",5298,,
MALE,24,WHITE,NOT OF HISPANIC ORIGIN,,8/24/20 16:00,MURDER INVESTIGATION,,,"MENZ, JAMES",5298,,
MALE,40,WHITE,HISPANIC ORIGIN,0 MCGRATH HWY,8/22/20 19:00,,,,"TOBIN, MATTHEW",9654,,
MALE,50,BLACK,UNKNOWN,0 MCGRATH HWY,8/22/20 19:00,,,,"TOBIN, MATTHEW",9654,,
MALE,27,WHITE,HISPANIC ORIGIN,166 QUINCY SHORE DR,8/26/20 10:00,OPEN FIREARMS CHARGES,,,"MENZ, JAMES",5298,,
MALE,36,BLACK,NOT OF HISPANIC ORIGIN,,8/31/20 12:15,,,,"MENZ, JAMES",5298,,
MALE,32,WHITE,NOT OF HISPANIC ORIGIN,1500 HANCOCK ST,9/4/20 10:30,THREATS TO NAVY 85 SEA ST,,,"MENZ, JAMES",5298,,
MALE,27,BLACK,NOT OF HISPANIC ORIGIN,,9/9/20 10:00,GUNS/DRUGS,,,"MENZ, JAMES",5298,,
MALE,20,BLACK,UNKNOWN,115 FEDERAL AV,9/7/20 22:28,FIREARM POSSESSION,,,"MENZ, JAMES",5298,,
MALE,38,WHITE,NOT OF HISPANIC ORIGIN,44 FARRINGTON ST,9/21/20 8:00,B&E MV SUSPECT,,,"MENZ, JAMES",5298,,
MALE,31,ASIAN/PACIFIC ISLANDER,UNKNOWN,50 CENTRAL AV N,9/22/20 11:00,,,,", ",,,
FEMALE,59,WHITE,,2001 FALLS BLVD,9/22/20 18:34,SP BEHAVIOR,,,"MENZ, JAMES",5298,,
MALE,21,WHITE,NOT OF HISPANIC ORIGIN,138 ELM AV E,10/1/20 9:00,TAGGING SUSPECT,,,"MENZ, JAMES",5298,,
FEMALE,32,BLACK,UNKNOWN,308 WILLARD ST,10/1/20 11:54,KNOWN FRAUD PARTICIPANT,,,"MENZ, JAMES",5298,,
MALE,30,BLACK,NOT OF HISPANIC ORIGIN,308 WILLARD ST,10/1/20 11:54,KNOWN FRAUD PARTICIPANT,,,"MENZ, JAMES",5298,,
MALE,42,WHITE,NOT OF HISPANIC ORIGIN,,10/2/20 11:27,POSSIBLE FIREARM POSSESSION,,,"TAPPER, RICHARD",5622,,
MALE,,BLACK,UNKNOWN,,10/10/20 9:00,ARMED ROBBERIES FIREARM,,,"MENZ, JAMES",5298,,
MALE,18,BLACK,UNKNOWN,,10/10/20 9:00,ARMED ROBBERIES FIREARM,,,"MENZ, JAMES",5298,,
MALE,20,BLACK,UNKNOWN,,10/10/20 9:00,ARMED ROBBERIES FIREARM,,,"MENZ, JAMES",5298,,
MALE,21,BLACK,UNKNOWN,,10/10/20 9:00,ARMED ROBBERIES FIREARM,,,"MENZ, JAMES",5298,,
MALE,22,BLACK,HISPANIC ORIGIN,,10/10/20 9:00,ARMED ROBBERIES FIREARM,,,"MENZ, JAMES",5298,,
MALE,22,BLACK,UNKNOWN,,10/10/20 9:00,ARMED ROBBERIES FIREARM,,,"MENZ, JAMES",5298,,
MALE,23,BLACK,UNKNOWN,,10/10/20 9:00,ARMED ROBBERIES FIREARM,,,"MENZ, JAMES",5298,,
MALE,28,BLACK,UNKNOWN,,10/10/20 9:00,ARMED ROBBERIES FIREARM,,,"MENZ, JAMES",5298,,
MALE,28,BLACK,UNKNOWN,98 INTERVALE ST,10/14/20 16:00,BROCKTON HOMICIDE INVESTIGATION,,,"MENZ, JAMES",5298,,
MALE,29,BLACK,UNKNOWN,98 INTERVALE ST,10/14/20 16:00,BROCKTON HOMICIDE INVESTIGATION,,,"MENZ, JAMES",5298,,
MALE,39,WHITE,NOT OF HISPANIC ORIGIN,185 BURGIN PRKWY,10/20/20 0:01,LIKELY B&E MV ACTIVITY,,,"LE, THIEN",5980,,
MALE,45,WHITE,NOT OF HISPANIC ORIGIN,185 BURGIN PRKWY,10/20/20 0:01,LIKELY B&E MV ACTIVITY,,,"LE, THIEN",5980,,
MALE,50,WHITE,NOT OF HISPANIC ORIGIN,185 BURGIN PRKWY,10/20/20 0:01,LIKELY B&E MV ACTIVITY,,,"LE, THIEN",5980,,
MALE,30,WHITE,NOT OF HISPANIC ORIGIN,0 CRANCH ST,9/7/20 7:15,,,,"MCKIM, RONALD",4372,,
MALE,21,ASIAN/PACIFIC ISLANDER,UNKNOWN,0 RICCIUTI DR,6/10/20 1:00,TRESPASSER,,,"BROKMEIER, MICHAEL",7997,,
MALE,74,WHITE,NOT OF HISPANIC ORIGIN,34 BUTLER RD,6/21/20 18:27,TRESPASSING,,,"SULLIVAN, JAMES",2954,,
MALE,27,WHITE,NOT OF HISPANIC ORIGIN,384 WATER ST,9/7/20 0:10,SP ACTIVITY,,,"GOLDRICK, JAMES",7157,,
MALE,,BLACK,HISPANIC ORIGIN,,10/20/20 23:30,MAILBOX FISHING,,,"MENZ, JAMES",5298,,
MALE,29,BLACK,HISPANIC ORIGIN,,10/20/20 23:30,MAILBOX FISHING,,,"MENZ, JAMES",5298,,
MALE,18,WHITE,HISPANIC ORIGIN,87 FEDERAL AV,10/25/20 21:05,POSSIBLE CARJACKING SUSPECT,,,"MENZ, JAMES",5298,,
FEMALE,32,WHITE,NOT OF HISPANIC ORIGIN,,10/24/20 0:00,94C DISTR ARRESTS BY NJSP,,,"MENZ, JAMES",5298,,
MALE,54,WHITE,NOT OF HISPANIC ORIGIN,,10/24/20 0:00,94C DISTR ARRESTS BY NJSP,,,"MENZ, JAMES",5298,,
MALE,47,WHITE,NOT OF HISPANIC ORIGIN,124 MERRYMOUNT RD,11/3/20 8:00,BANK ROBBERY SUSPECT,,,"MENZ, JAMES",5298,,
MALE,45,,NOT OF HISPANIC ORIGIN,73 YOUNG ST,1/8/19 13:59,MARIJUANA 20 LBS,,,", ",,,
MALE,20,BLACK,HISPANIC ORIGIN,520 WASHINGTON ST,11/11/20 7:11,OUTSIDE AGENCY ARREST IN QUINCY,,,", ",,,
MALE,35,WHITE,NOT OF HISPANIC ORIGIN,20 INDEPENDENCE AV,11/12/20 20:17,ON DRUGS/B&E OFFENDER,,,"GOLDRICK, JAMES",7157,,
FEMALE,35,WHITE,NOT OF HISPANIC ORIGIN,0 FRANKLIN ST,11/13/20 21:14,BRAINTREE ARMED ROBBERY,,,"DONNELLY, RYAN",5528,,
MALE,27,BLACK,NOT OF HISPANIC ORIGIN,0 FRANKLIN ST,11/13/20 21:14,BRAINTREE ARMED ROBBERY,,,"DONNELLY, RYAN",5528,,
MALE,27,BLACK,UNKNOWN,0 FRANKLIN ST,11/13/20 21:14,BRAINTREE ARMED ROBBERY,,,"DONNELLY, RYAN",5528,,
MALE,28,BLACK,NOT OF HISPANIC ORIGIN,0 FRANKLIN ST,11/13/20 21:14,BRAINTREE ARMED ROBBERY,,,"DONNELLY, RYAN",5528,,
FEMALE,34,WHITE,UNKNOWN,0 HANCOCK ST,11/23/20 14:00,ROMANIAN GYPSY SCAMMERS,,,"MENZ, JAMES",5298,,
FEMALE,38,WHITE,UNKNOWN,0 HANCOCK ST,11/23/20 14:00,ROMANIAN GYPSY SCAMMERS,,,"MENZ, JAMES",5298,,
MALE,40,WHITE,UNKNOWN,0 HANCOCK ST,11/23/20 14:00,ROMANIAN GYPSY SCAMMERS,,,"MENZ, JAMES",5298,,
MALE,54,WHITE,NOT OF HISPANIC ORIGIN,377 WILLARD ST,11/24/20 10:00,KNOWN ARMORED CAR ROBBER,,,"MENZ, JAMES",5298,,
MALE,37,WHITE,NOT OF HISPANIC ORIGIN,661 ADAMS ST,11/29/20 6:35,KNOWN B&E OFFENDER,,,"MENZ, JAMES",5298,,
MALE,22,BLACK,NOT OF HISPANIC ORIGIN,126 GRANITE ST,11/29/20 18:39,HOSTILE TOWARDS POLICE,,,"MILLIKEN, SEAN",8993,,
MALE,25,WHITE,NOT OF HISPANIC ORIGIN,76 FARRINGTON ST,11/25/20 3:08,SP ACTIVITY,,,"SORGI, EVAN",7820,,
MALE,33,WHITE,NOT OF HISPANIC ORIGIN,0 ARLINGTON ST,12/9/20 22:09,KNOWN B&E TYPE OFFENDER,,,"ROSENTHAL, DANIEL",2219,,
MALE,28,BLACK,HISPANIC ORIGIN,0 HANCOCK ST,11/20/20 15:52,MAILBOX FISHING,,,"MENZ, JAMES",5298,,
MALE,29,BLACK,HISPANIC ORIGIN,0 HANCOCK ST,11/20/20 15:52,MAILBOX FISHING,,,"MENZ, JAMES",5298,,
MALE,33,BLACK,NOT OF HISPANIC ORIGIN,275 HANCOCK ST,12/14/20 1:00,WANTED PERSON,,,"MENZ, JAMES",5298,,
MALE,32,WHITE,NOT OF HISPANIC ORIGIN,30 ELLIS ST,12/20/20 20:00,THREATS,,,"MENZ, JAMES",5298,,
MALE,25,BLACK,NOT OF HISPANIC ORIGIN,144 QUINCY SHORE DR,12/25/20 20:14,,,,"MENZ, JAMES",5298,,
MALE,26,BLACK,UNKNOWN,144 QUINCY SHORE DR,12/25/20 20:14,,,,"MENZ, JAMES",5298,,
MALE,33,BLACK,NOT OF HISPANIC ORIGIN,10 PRESIDENTS LN,1/3/21 14:00,B&E VEHICLE SUSPECT,,,"MENZ, JAMES",5298,,
MALE,72,WHITE,NOT OF HISPANIC ORIGIN,18 POPLAR RD,1/3/21 9:45,LIKELY DRUG ACTIVITY,,,"MENZ, JAMES",5298,,
FEMALE,31,BLACK,NOT OF HISPANIC ORIGIN,,10/31/20 0:00,POSSIBLE FALSE REPORT OF CRIME,,,"MENZ, JAMES",5298,,
MALE,32,BLACK,UNKNOWN,,10/31/20 0:00,POSSIBLE FALSE REPORT OF CRIME,,,"MENZ, JAMES",5298,,
MALE,44,WHITE,NOT OF HISPANIC ORIGIN,0 HANCOCK ST,12/30/20 2:15,SP PARTY,,,"HARRINGTON, SEAN",9655,,
MALE,18,BLACK,NOT OF HISPANIC ORIGIN,,1/5/21 18:00,POSS. FIREARM POSSESSION,,,"MENZ, JAMES",5298,,
MALE,19,BLACK,HISPANIC ORIGIN,0 HANCOCK ST,1/16/21 20:14,POSSIBLE FIREARM POSSESSION,,,"MENZ, JAMES",5298,,
MALE,25,BLACK,HISPANIC ORIGIN,0 FURNACE BROOK PRKWY,1/8/21 19:37,POSSIBLE FIREARM POSSESSION,,,"MENZ, JAMES",5298,,
MALE,29,WHITE,UNKNOWN,0 FURNACE BROOK PRKWY,1/8/21 19:37,POSSIBLE FIREARM POSSESSION,,,"MENZ, JAMES",5298,,
MALE,20,BLACK,UNKNOWN,0 WILLARD ST,1/20/21 13:14,POSS FIREARM POSSESSION/HIDE,,,"MENZ, JAMES",5298,,
MALE,23,BLACK,NOT OF HISPANIC ORIGIN,0 WILLARD ST,1/20/21 13:14,POSS FIREARM POSSESSION/HIDE,,,"MENZ, JAMES",5298,,
MALE,30,BLACK,UNKNOWN,2 HANCOCK ST,1/20/21 0:00,TRAFFICKING 94C ARREST,,,"MENZ, JAMES",5298,,
MALE,34,,,,1/29/21 13:11,BOMBS,,,"MENZ, JAMES",5298,,
MALE,22,BLACK,UNKNOWN,,2/2/21 14:00,,,,"MENZ, JAMES",5298,,
MALE,20,,,,6/13/19 3:59,FIREARM POSSESSION,,,"MENZ, JAMES",5298,,
MALE,22,BLACK,UNKNOWN,,2/19/21 16:42,POSS. FIREARM POSSESSION,,,", ",,,
MALE,29,BLACK,UNKNOWN,,2/19/21 16:42,POSS. FIREARM POSSESSION,,,", ",,,
MALE,31,BLACK,NOT OF HISPANIC ORIGIN,71 SOUTH ST,1/20/21 8:00,LTC APPLICANT,,,"MENZ, JAMES",5298,,
MALE,42,WHITE,NOT OF HISPANIC ORIGIN,0 MARTENSEN ST,2/11/21 1:09,SP PARTY 0109AM,,,"WATERMAN, CHARLES",9661,,
MALE,52,WHITE,NOT OF HISPANIC ORIGIN,301 FALLS BLVD,1/11/21 20:41,MASTERBATER,,,"GOLDRICK, JAMES",7157,,
MALE,39,WHITE,NOT OF HISPANIC ORIGIN,780 WASHINGTON ST,1/20/21 0:15,SP PARTIES / TWIN RIVERS,,,"FRASSO, NICHOLAS",9673,,
MALE,41,WHITE,NOT OF HISPANIC ORIGIN,115 SQUANTUM ST W,2/24/21 19:38,SP PERSON,,,", ",,,
MALE,22,BLACK,HISPANIC ORIGIN,,2/25/21 6:46,FIREARM ARREST IN BOSTON,,,"MENZ, JAMES",5298,,
MALE,40,WHITE,NOT OF HISPANIC ORIGIN,41 NIGHTINGALE AV,2/26/21 12:00,FELON/POLICE EQUIPMENT,,,"MENZ, JAMES",5298,,
MALE,50,WHITE,UNKNOWN,0 QUINCY SHORE DR,3/1/21 3:47,SP PARTY,,,"WATERMAN, CHARLES",9661,,
MALE,30,WHITE,NOT OF HISPANIC ORIGIN,141 NEWPORT AV,2/26/21 7:00,SP PARTY,,,"SORGI, EVAN",7820,,
MALE,28,WHITE,NOT OF HISPANIC ORIGIN,47 HOLMES ST,3/3/21 4:17,SP PERSON,,,"MENZ, JAMES",5298,,
MALE,39,BLACK,UNKNOWN,671 WASHINGTON ST,3/6/21 8:43,6 FIREARMS RECOVERED,,,"CLEARY, THOMAS",8979,,
MALE,34,WHITE,NOT OF HISPANIC ORIGIN,67 SAFFORD ST,3/4/21 1:10,SP PARTY,,,"WOOD, KENNETH",210,,
MALE,47,WHITE,HISPANIC ORIGIN,27 VASSALL ST,3/3/21 3:30,NEWSPAPER DELIVERYMAN,,,"WATERMAN, CHARLES",9661,,
MALE,28,WHITE,UNKNOWN,59 VASSALL ST,3/3/21 0:53,,,,", ",,,
MALE,27,BLACK,NOT OF HISPANIC ORIGIN,0 ATLANTIC ST,3/3/21 1:23,,,,", ",,,
MALE,55,WHITE,NOT OF HISPANIC ORIGIN,0 CENTRAL AV N,3/3/21 1:10,SP PERSON,,,"PARISI, JAMES",7103,,
MALE,40,WHITE,NOT OF HISPANIC ORIGIN,0 MCGRATH HWY,3/9/21 14:00,SP PERSON,,,"FLYNN, DAVID",9664,,
MALE,22,BLACK,UNKNOWN,4 AVALON DR,3/17/21 22:24,RANDOLPH PD FAIL TO STOP,,,", ",,,
MALE,19,BLACK,UNKNOWN,0 BURGIN PRKWY EXT,3/26/21 7:23,POLICE SHOOTING,,,", ",,,
MALE,37,WHITE,UNKNOWN,0 BURGIN PRKWY EXT,3/26/21 7:23,POLICE SHOOTING,,,", ",,,
MALE,41,BLACK,UNKNOWN,0 BURGIN PRKWY EXT,3/26/21 7:23,POLICE SHOOTING,,,", ",,,
MALE,48,WHITE,NOT OF HISPANIC ORIGIN,,1/9/21 0:00,COPPER THIEVES,,,"MENZ, JAMES",5298,,
MALE,35,WHITE,NOT OF HISPANIC ORIGIN,,4/4/21 0:00,BOSTON STABBING/QUINCY RESIDENT,,,"MENZ, JAMES",5298,,
MALE,37,BLACK,UNKNOWN,276 WATER ST,4/6/21 12:05,KNOWN GANG HOUSE,,,"MENZ, JAMES",5298,,
MALE,25,BLACK,UNKNOWN,0 COTTAGE AV,4/6/21 12:15,SP PARTY,,,"MENZ, JAMES",5298,,
MALE,37,WHITE,NOT OF HISPANIC ORIGIN,,4/7/21 14:00,THREATS TO HARM LAW ENFORCEMENT,,,"MENZ, JAMES",5298,,
MALE,37,WHITE,NOT OF HISPANIC ORIGIN,1 SEA ST,3/25/21 15:11,SP ACTIVITY,,,"DOUGAN, MICHAEL",5897,,
FEMALE,25,BLACK,NOT OF HISPANIC ORIGIN,130 GRANITE ST,3/11/21 22:30,WANTED FOR MURDER,,,"MENZ, JAMES",5298,,
MALE,26,BLACK,NOT OF HISPANIC ORIGIN,130 GRANITE ST,3/11/21 22:30,WANTED FOR MURDER,,,"MENZ, JAMES",5298,,
MALE,32,WHITE,NOT OF HISPANIC ORIGIN,97 DUNDEE RD,4/14/21 18:52,ANTI POLICE HATRED,,,"FLYNN, DAVID",9664,,
MALE,27,,NOT OF HISPANIC ORIGIN,183 NORFOLK ST,4/13/21 18:57,SIGNIFICANT TRAFFICKING MARIJUANA INCIDENT,,,"KARVELIS, JAMES",1783,,
MALE,32,,NOT OF HISPANIC ORIGIN,183 NORFOLK ST,4/13/21 18:57,SIGNIFICANT TRAFFICKING MARIJUANA INCIDENT,,,"KARVELIS, JAMES",1783,,
MALE,46,ASIAN/PACIFIC ISLANDER,NOT OF HISPANIC ORIGIN,183 NORFOLK ST,4/13/21 18:57,SIGNIFICANT TRAFFICKING MARIJUANA INCIDENT,,,"KARVELIS, JAMES",1783,,
MALE,49,BLACK,NOT OF HISPANIC ORIGIN,0 HANCOCK ST,4/20/21 16:34,BOSTON SHOOTING,,,"MENZ, JAMES",5298,,
MALE,39,BLACK,UNKNOWN,1 ARLINGTON ST,4/26/21 14:45,ACTIVE WARRANTS,,,"CASSIDY, JAMES",5544,,
FEMALE,27,WHITE,NOT OF HISPANIC ORIGIN,27 WATER ST,4/27/21 11:00,STOUGHTON SHOOTING,,,"MENZ, JAMES",5298,,
FEMALE,37,BLACK,HISPANIC ORIGIN,27 WATER ST,4/27/21 11:00,STOUGHTON SHOOTING,,,"MENZ, JAMES",5298,,
MALE,20,BLACK,UNKNOWN,27 WATER ST,4/27/21 11:00,STOUGHTON SHOOTING,,,"MENZ, JAMES",5298,,
MALE,31,WHITE,HISPANIC ORIGIN,158 WASHINGTON ST,5/9/21 8:00,THREATS TO A PASTOR,,,"MENZ, JAMES",5298,,
FEMALE,34,BLACK,HISPANIC ORIGIN,96 WASHINGTON ST,5/10/21 14:00,WANTED FUGITIVE,,,"MENZ, JAMES",5298,,
MALE,28,BLACK,HISPANIC ORIGIN,96 WASHINGTON ST,5/10/21 14:00,WANTED FUGITIVE,,,"MENZ, JAMES",5298,,
MALE,31,ASIAN/PACIFIC ISLANDER,,10 FAXON AV,5/11/21 0:38,SUICIDAL/ACTIVE QUINCY LTC,,,"MENZ, JAMES",5298,,
MALE,19,WHITE,HISPANIC ORIGIN,,5/18/21 13:00,POSS. PAST HOME INVASION,,,"MENZ, JAMES",5298,,
MALE,20,BLACK,NOT OF HISPANIC ORIGIN,,5/18/21 13:00,POSS. PAST HOME INVASION,,,"MENZ, JAMES",5298,,
FEMALE,29,BLACK,NOT OF HISPANIC ORIGIN,,5/18/21 1:37,FIREARM VIOL,,,"MENZ, JAMES",5298,,
FEMALE,30,BLACK,UNKNOWN,6 HIGHPOINT CIR,5/25/21 2:58,DISORDER,,,"MENZ, JAMES",5298,,
MALE,28,BLACK,UNKNOWN,6 HIGHPOINT CIR,5/25/21 2:58,DISORDER,,,"MENZ, JAMES",5298,,
MALE,37,WHITE,NOT OF HISPANIC ORIGIN,0 POST ISLAND RD,5/24/21 19:45,,,,"MENZ, JAMES",5298,,
FEMALE,31,WHITE,NOT OF HISPANIC ORIGIN,138 WILLARD ST,5/27/21 0:00,STOLEN GOODS,,,"MENZ, JAMES",5298,,
MALE,34,WHITE,NOT OF HISPANIC ORIGIN,138 WILLARD ST,5/27/21 0:00,STOLEN GOODS,,,"MENZ, JAMES",5298,,
MALE,21,BLACK,NOT OF HISPANIC ORIGIN,,6/2/21 16:00,RECENT QPD FIREARM ARREST,YES,,"MENZ, JAMES",5298,,
MALE,24,WHITE,NOT OF HISPANIC ORIGIN,41 WALL ST,6/12/21 1:06,WANTED BY BOSTON PD/SEE CAD,,,"MENZ, JAMES",5298,,
MALE,20,BLACK,UNKNOWN,,6/22/21 15:00,TARGET FOR MURDER,,,"MENZ, JAMES",5298,,
MALE,24,BLACK,NOT OF HISPANIC ORIGIN,,6/23/21 23:00,SHOOTING IN RANDOLPH,,,"MENZ, JAMES",5298,,
MALE,25,BLACK,UNKNOWN,,6/23/21 23:00,SHOOTING IN RANDOLPH,,,"MENZ, JAMES",5298,,
MALE,39,WHITE,NOT OF HISPANIC ORIGIN,,7/6/21 12:00,METH USER,,,"MENZ, JAMES",5298,,
MALE,23,BLACK,HISPANIC ORIGIN,0 WILLARD ST,7/7/21 21:04,KNOWN B&E OFFENDER,,,"MENZ, JAMES",5298,,
FEMALE,22,WHITE,NOT OF HISPANIC ORIGIN,60 QUARTERDECK RD,7/16/21 11:00,FIREARM/DRUGS,,,"MENZ, JAMES",5298,,
MALE,24,WHITE,NOT OF HISPANIC ORIGIN,60 QUARTERDECK RD,7/16/21 11:00,FIREARM/DRUGS,,,"MENZ, JAMES",5298,,
MALE,26,BLACK,HISPANIC ORIGIN,60 QUARTERDECK RD,7/16/21 11:00,FIREARM/DRUGS,,,"MENZ, JAMES",5298,,
MALE,26,BLACK,UNKNOWN,,7/17/21 8:21,FIREARM SHOWN,,,"MENZ, JAMES",5298,,
MALE,41,BLACK,HISPANIC ORIGIN,0 HANCOCK ST,7/18/21 10:36,MILTON/S. BOSTON STABBINGS,,,"MENZ, JAMES",5298,,
MALE,15,BLACK,NOT OF HISPANIC ORIGIN,,7/28/21 10:45,KNOWN TO ASSOCIATE,,,"MENZ, JAMES",5298,,
MALE,16,BLACK,NOT OF HISPANIC ORIGIN,,7/28/21 10:45,KNOWN TO ASSOCIATE,,,"MENZ, JAMES",5298,,
MALE,16,BLACK,UNKNOWN,,7/28/21 10:45,KNOWN TO ASSOCIATE,,,"MENZ, JAMES",5298,,
MALE,16,WHITE,NOT OF HISPANIC ORIGIN,,7/28/21 10:45,KNOWN TO ASSOCIATE,,,"MENZ, JAMES",5298,,
MALE,16,BLACK,NOT OF HISPANIC ORIGIN,318 HANCOCK ST,7/28/21 12:00,POSS B&E SUSPECT,,,"SWEETLAND, ROBERT",5586,,
FEMALE,64,BLACK,UNKNOWN,158 MAIN ST,8/6/21 17:18,BOSTON SHOOTING SUSPECT,,,"MENZ, JAMES",5298,,
MALE,20,BLACK,NOT OF HISPANIC ORIGIN,158 MAIN ST,8/6/21 17:18,BOSTON SHOOTING SUSPECT,,,"MENZ, JAMES",5298,,
MALE,19,BLACK,NOT OF HISPANIC ORIGIN,38 WARWICK ST,8/12/21 18:24,FIREARM POSSESSION,,,"MENZ, JAMES",5298,,
MALE,36,WHITE,UNKNOWN,162 COPELAND ST,8/18/21 8:24,BPD ARREST AND SW,,,"MENZ, JAMES",5298,,
,32,,,65 NEWPORT AV,8/22/21 21:10,SP PARTY,,,"FLYNN, DAVID",9664,,
MALE,35,BLACK,UNKNOWN,21 CHESTNUT ST,8/27/21 10:15,CHANGE OF ADDRESS,,,"MENZ, JAMES",5298,,
FEMALE,39,WHITE,NOT OF HISPANIC ORIGIN,0 HANCOCK ST,8/25/21 18:00,METH/FENTANYL DEALER,,,"MENZ, JAMES",5298,,
MALE,24,WHITE,NOT OF HISPANIC ORIGIN,,8/30/21 8:00,POSS FIREARM POSS/METH DEALER,,,"MENZ, JAMES",5298,,
FEMALE,25,BLACK,HISPANIC ORIGIN,2 HANCOCK ST,8/31/21 12:00,LTC DENIAL,,,"MENZ, JAMES",5298,,
MALE,35,BLACK,UNKNOWN,23 BAYSTATE RD,8/31/21 15:00,LTC DENIAL,,,"MENZ, JAMES",5298,,
FEMALE,47,WHITE,NOT OF HISPANIC ORIGIN,18 POPLAR RD,9/4/21 17:20,VERBAL DISPUTE,,,"MENZ, JAMES",5298,,
FEMALE,58,WHITE,NOT OF HISPANIC ORIGIN,18 POPLAR RD,9/4/21 17:20,VERBAL DISPUTE,,,"MENZ, JAMES",5298,,
MALE,50,WHITE,NOT OF HISPANIC ORIGIN,18 POPLAR RD,9/4/21 17:20,VERBAL DISPUTE,,,"MENZ, JAMES",5298,,
