Sex,Age,Race,Ethnicity,Location,Date/Time,Source,Search,Outcome,Officer,Badge,Other Officer,Other Badge
MALE,26,BLACK,HISPANIC ORIGIN,200 HANCOCK ST,5/6/19 19:09,,,,"MCCORMACK, SEAN",5210,,
MALE,27,BLACK,HISPANIC ORIGIN,200 HANCOCK ST,5/6/19 19:09,,,,"MCCORMACK, SEAN",5210,,
MALE,28,BLACK,HISPANIC ORIGIN,200 HANCOCK ST,5/6/19 19:09,,,,"MCCORMACK, SEAN",5210,,
MALE,50,BLACK,NOT OF HISPANIC ORIGIN,0 FALLS BLVD,5/10/19 16:50,,,,"GOLDRICK, JAMES",7157,,
FEMALE,33,WHITE,UNKNOWN,1445 HANCOCK ST,5/10/19 20:51,,,,"GOYETTE, GREGORY",6759,,
MALE,38,WHITE,UNKNOWN,1445 HANCOCK ST,5/10/19 20:51,,,,"GOYETTE, GREGORY",6759,,
MALE,24,WHITE,NOT OF HISPANIC ORIGIN,267 HANCOCK ST,5/10/19 0:03,,,,", ",,,
MALE,26,WHITE,UNKNOWN,267 HANCOCK ST,5/10/19 0:03,,,,", ",,,
MALE,32,WHITE,NOT OF HISPANIC ORIGIN,267 HANCOCK ST,5/10/19 0:03,,,,", ",,,
MALE,33,WHITE,NOT OF HISPANIC ORIGIN,267 HANCOCK ST,5/10/19 0:03,,,,", ",,,
MALE,41,WHITE,HISPANIC ORIGIN,65 NEWPORT AV,5/23/19 0:14,,,,"GRIFFIN, WILLIAM",,,
MALE,37,WHITE,NOT OF HISPANIC ORIGIN,24 BROAD ST,5/23/19 0:11,,,,"FOLAN, PATRICK",6621,,
MALE,46,BLACK,NOT OF HISPANIC ORIGIN,24 BROAD ST,5/23/19 0:11,,,,"FOLAN, PATRICK",6621,,
MALE,59,WHITE,NOT OF HISPANIC ORIGIN,24 BROAD ST,5/23/19 0:11,,,,"FOLAN, PATRICK",6621,,
MALE,30,WHITE,NOT OF HISPANIC ORIGIN,318 HANCOCK ST,5/22/19 0:32,,,,"SORGI, EVAN",7820,,
MALE,42,WHITE,NOT OF HISPANIC ORIGIN,1 SCAMMELL ST,5/30/19 0:14,,,,"CHURCH, DANNY",5487,,
MALE,51,WHITE,NOT OF HISPANIC ORIGIN,1 SCAMMELL ST,5/30/19 0:14,,,,"CHURCH, DANNY",5487,,
MALE,50,WHITE,NOT OF HISPANIC ORIGIN,0 BEALE ST,6/10/19 1:20,,,,"SORGI, EVAN",7820,,
MALE,34,WHITE,NOT OF HISPANIC ORIGIN,894 HANCOCK ST,6/19/19 0:00,,,,"MENZ, JAMES",5298,,
MALE,30,BLACK,NOT OF HISPANIC ORIGIN,2 HANCOCK ST,6/17/19 12:49,,,,"MENZ, JAMES",5298,,
MALE,24,BLACK,UNKNOWN,24 CENTRAL AV S,5/27/19 0:00,,,,", ",,,
FEMALE,40,WHITE,NOT OF HISPANIC ORIGIN,0 POND ST,7/10/19 10:15,,,,", ",,,
MALE,61,WHITE,,1305 HANCOCK ST,7/29/19 21:30,,,,", ",,,
MALE,35,WHITE,NOT OF HISPANIC ORIGIN,215 QUINCY AV,8/15/19 9:55,,,,"DOUGAN, MICHAEL",5897,,
