interview_number,call_number,date_time_rpt_date,date_time_rpt_time,rpt_date_time_date,rpt_date_time_time,reporting_officer,assisting_officer,location_type,zone,street,city_state,reason,entered,modified,approved
18-1-FI,18-21,01/01/2018,29.0,01/01/2018,29.0,Sergeant Daniel Johnson,Officer Lino Carrasquillo,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,,SPRINGFIELD MA,1   Police Information,01/01/2018 @ 0049,01/01/2018 @ 0053,01/01/2018 @ 0305
18-10-FI,18-1733,01/02/2018,1130.0,01/02/2018,1130.0,Officer William Lopes,Officer Jose Robles,Highway/Road/Alley/Street,Sector F2 Old&Upper Hill,,SPRINGFIELD MA,1   Drug Activity,,,
18-100-FI,18-14114,01/19/2018,2020.0,01/19/2018,2020.0,Sergeant Daniel Johnson,Officer Gregory Vatrano,Residence/Home/Apt./Condo,Sector H1 Forest Park,,,1   Suspicious Person,01/19/2018 @ 2030,01/19/2018 @ 2033,01/19/2018 @ 2040
18-101-FI,18-14157,01/19/2018,2118.0,01/19/2018,2118.0,Officer Maciej Jasinski,Officer Anthony Sowers,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,ACROSS THE STREET,SPRINGFIELD MA,1   Suspicious Person / DRUG ACTIVITY,01/19/2018 @ 2134,01/19/2018 @ 2218,01/19/2018 @ 2256
18-102-FI,18-14160,01/19/2018,1630.0,01/19/2018,1630.0,Officer Donnievan Figueroa,Officer Juan Taveras,Other/Unknown,Sector A N. End/Memorial,CHRISTOPHERS PACKAGE STORE,SPRINGFIELD MA,1   Suspicious Activity,01/19/2018 @ 2131,01/19/2018 @ 2154,01/19/2018 @ 2256
18-103-FI,18-13983,01/19/2018,1715.0,01/19/2018,1715.0,Officer Marcos Hernandez,,Highway/Road/Alley/Street,Sector A N. End/Memorial,,SPRINGFIELD MA,1   Suspicious Person,01/19/2018 @ 2143,01/19/2018 @ 2159,01/19/2018 @ 2256
18-104-FI,18-14451,01/20/2018,1051.0,01/20/2018,1051.0,Lieutenant Thomas Zarelli,Officer Jason Laviolette,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,SCHOOL ST @ HIGH ST,SPRINGFIELD MA,1   Suspicious Person,,,
18-105-FI,18-14572,01/20/2018,1426.0,01/20/2018,1426.0,Officer Manuel Ayala,Officer Jose Silva,Highway/Road/Alley/Street,Sector A N. End/Memorial,,,1   Suspicious Activity/DRUG ACTIVITY,01/21/2018 @ 1325,01/21/2018 @ 1352,01/21/2018 @ 1359
18-106-FI,18-14599,01/20/2018,1500.0,01/20/2018,1500.0,Officer Adan Cruz,,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,CAMBRIDGE ST @ BURR ST,SPRINGFIELD MA,1   Suspicious Person,01/20/2018 @ 1510,01/20/2018 @ 1517,02/08/2018 @ 1858
18-107-FI,18-14659,01/20/2018,1653.0,01/20/2018,1653.0,Officer Gregory Vatrano,Sergeant Daniel Johnson,Highway/Road/Alley/Street,Sector H1 Forest Park,FOREST PARK AVE @ FORT PLEASANT AVE,SPRINGFIELD MA,1   Drug Activity,01/20/2018 @ 1710,01/20/2018 @ 1740,01/20/2018 @ 1748
18-108-FI,18-14692,01/20/2018,1753.0,01/20/2018,1753.0,Officer Juan Taveras,Officer Donnievan Figueroa,Highway/Road/Alley/Street,Sector A N. End/Memorial,CHRISTOPHER'S PACKAGE STORE,SPRINGFIELD MA,1   Suspicious Activity,01/20/2018 @ 1818,01/20/2018 @ 1839,01/20/2018 @ 2153
18-109-FI,18-14685,01/20/2018,1741.0,01/20/2018,1741.0,Officer Joel Lopez,Officer Charles Scheehser,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,,SPRINGFIELD MA,1   Suspicious Activity,01/20/2018 @ 1803,01/20/2018 @ 1842,02/08/2018 @ 1859
18-11-FI,18-2064,01/03/2018,1709.0,01/03/2018,1709.0,Officer Patrick Haggerty,Officer Manuel Ayala,Highway/Road/Alley/Street,Sector A N. End/Memorial,MAIN ST @ GROVE ST,SPRINGFIELD MA,1   Suspicious Person/DRUG ACTIVITY,01/03/2018 @ 1720,01/03/2018 @ 1832,01/11/2018 @ 1945
18-110-FI,18-14746,01/20/2018,1919.0,01/20/2018,1919.0,Officer Benis Peguero,Officer James Trubia,Commercial/Office Building,Sector H1 Forest Park,FRANKS PACKAGE STORE,,1   Drug Activity,01/20/2018 @ 1956,01/20/2018 @ 2020,01/20/2018 @ 2152
18-111-FI,18-14824,01/20/2018,2117.0,01/20/2018,2117.0,Officer Gregory Vatrano,Sergeant Daniel Johnson,Highway/Road/Alley/Street,Sector H1 Forest Park,INTERSECTION OF,"ORANGE ST @ DOW ST
     SPRINGFIELD MA",1   Gang Activity,01/20/2018 @ 2205,01/20/2018 @ 2229,01/20/2018 @ 2329
18-112-FI,18-14850,01/20/2018,2212.0,01/20/2018,2212.0,Officer Lindsay Tagliapietra,Officer Darrin Fitzpatrick,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,SCHOOL ST @ HIGH ST,SPRINGFIELD MA,1   Suspicious Activity,01/20/2018 @ 2216,01/20/2018 @ 2224,01/20/2018 @ 2227
18-113-FI,18-15075,01/21/2018,836.0,01/21/2018,836.0,Officer Manuel Ayala,Officer Roberto Flores,Community Center,Sector A N. End/Memorial,OPEN PANTRY EMERGENCY FOOD PANTRY,SPRINGFIELD MA,1   Suspicious Activity,01/21/2018 @ 0942,01/21/2018 @ 1012,01/21/2018 @ 1105
18-114-FI,18-15075,01/21/2018,836.0,01/21/2018,836.0,Officer Juan Flores,Officer Roberto Flores,Community Center,Sector A N. End/Memorial,OPEN PANTRY EMERGENCY FOOD PANTRY,SPRINGFIELD MA,1   Suspicious Activity,01/21/2018 @ 0930,01/21/2018 @ 1038,01/21/2018 @ 1104
18-115-FI,18-14096,01/19/2018,1939.0,01/19/2018,1939.0,Deputy Chief Steven Kent,,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,KNOX ST @ WINDSOR ST,SPRINGFIELD MA,1   Suspicious Person,01/21/2018 @ 0953,01/21/2018 @ 0956,02/09/2018 @ 1347
18-116-FI,18-15165,01/21/2018,1208.0,01/21/2018,1208.0,Officer Manuel Ayala,,Parking Lot/Garage,Sector A N. End/Memorial,CHRISTOPHERS PACKAGE STORE INC,SPRINGFIELD MA,1   Suspicious Activity/LOITERING,01/21/2018 @ 1248,01/21/2018 @ 1308,01/21/2018 @ 1312
18-117-FI,18-15311,01/21/2018,1733.0,01/21/2018,1733.0,Officer Joel Lopez,Officer Samantha Jones,Parking Lot/Garage,Sector F2 Old&Upper Hill,FAMILY DOLLAR STORE,SPRINGFIELD MA,1   Suspicious Person,01/21/2018 @ 1739,01/21/2018 @ 1828,02/08/2018 @ 1900
18-118-FI,18-15432,01/21/2018,2118.0,01/21/2018,2118.0,Officer David Santiago,Officer Igor Basovskiy,Drug Store/Doctor's Office/,Sector F1 McKnight/Bay,,SPRINGFIELD MA,1   PANHANDLING/LOITERING/Black Gangster Disciple,01/21/2018 @ 2125,01/21/2018 @ 2143,01/21/2018 @ 2146
18-119-FI,18-15736,01/22/2018,957.0,01/22/2018,957.0,Officer Kevin Sullivan,,,Sector F1 McKnight/Bay,CENTRAL HIGH SCHOOL,SPRINGFIELD MA,1   Police Information ( THREAT OF SAFETY AT SCHOOL),,,
