interview_number,call_number,date_time_rpt_date,date_time_rpt_time,rpt_date_time_date,rpt_date_time_time,reporting_officer,assisting_officer,location_type,zone,street,city_state,reason,entered,modified,approved
18-12-FI,18-2096,01/03/2018,1752.0,01/03/2018,1752.0,Officer Lindsay Tagliapietra,Sergeant William Catellier,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,TEMPLE ST @ SCHOOL ST,SPRINGFIELD MA,1   Suspicious Activity,01/03/2018 @ 1806,01/03/2018 @ 1830,01/03/2018 @ 1832
18-120-FI,18-15945,01/22/2018,1401.0,01/22/2018,1401.0,Officer Douglas Bernier,,Other/Unknown,Sector F1 McKnight/Bay,BERGEN CIRCLE APARTMENTS,SPRINGFIELD MA,1   Suspicious Vehicle,01/22/2018 @ 1409,01/22/2018 @ 1421,02/08/2018 @ 1901
18-121-FI,18-16211,01/22/2018,2056.0,01/22/2018,2056.0,Officer Marcos Hernandez,Lieutenant Julio Toledo,Commercial/Office Building,Sector A N. End/Memorial,,SPRINGFIELD MA,1   Suspicious Person,,,
18-122-FI,18-16338,01/23/2018,146.0,01/23/2018,146.0,Officer Joseph Bergdoll,Officer Jeffrey Bienvenue,Highway/Road/Alley/Street,Sector H2 Forest Park/EFP,WHITE ST @ ORANGE ST,SPRINGFIELD MA,1   TRAFFIC STOP,01/23/2018 @ 0307,01/23/2018 @ 0413,01/23/2018 @ 0431
18-123-FI,18-16779,01/23/2018,1643.0,01/23/2018,1643.0,Officer Darrin Fitzpatrick,Sergeant William Catellier,Other/Unknown,Sector H1 Forest Park,FOOD ZONE SUPERMARKET SPRINGFIELD,SPRINGFIELD MA,1   GANG MEMBER/ADDICT,01/23/2018 @ 1649,01/23/2018 @ 1705,01/23/2018 @ 1753
18-124-FI,18-16841,01/23/2018,1750.0,01/23/2018,1750.0,Officer Charles Scheehser,Officer Victor Allder,Highway/Road/Alley/Street,Sector F2 Old&Upper Hill,WELLINGTON ST @ MARLBOROUGH ST,SPRINGFIELD MA,1   Police Information,01/23/2018 @ 1802,01/23/2018 @ 1822,02/08/2018 @ 1902
18-125-FI,18-16896,01/23/2018,1900.0,01/23/2018,1900.0,Officer Dads Dominque,Officer Gregory Vatrano,Residence/Home/Apt./Condo,Sector H1 Forest Park,,SPRINGFIELD MA,1   Police Information,01/23/2018 @ 1915,01/23/2018 @ 2025,03/07/2018 @ 1424
18-126-FI,18-16900,01/23/2018,1904.0,01/23/2018,1904.0,Officer Donnievan Figueroa,Lieutenant Julio Toledo,Residence/Home/Apt./Condo,Sector A N. End/Memorial,,SPRINGFIELD MA,1   Suspicious Activity,01/23/2018 @ 2048,01/23/2018 @ 2123,02/05/2018 @ 1730
18-127-FI,18-16981,01/23/2018,2142.0,01/23/2018,2142.0,Officer Michael Chapin,,Highway/Road/Alley/Street,Sector E1 Metro/South End,SIDEWALK,"LOCUST ST @ MAIN ST
     SPRINGFIELD MA 01105",1   Suspected Prostitution,01/23/2018 @ 2151,01/23/2018 @ 2159,01/27/2018 @ 2313
18-128-FI,18-17140,01/24/2018,310.0,01/24/2018,310.0,Officer Seth Barker,Officer Luzdelis Roman,Highway/Road/Alley/Street,Sector E1 Metro/South End,LOCUST ST @ PALMER AVE,SPRINGFIELD MA,1   Suspicious Person,01/24/2018 @ 0757,01/24/2018 @ 0809,01/24/2018 @ 0905
18-129-FI,18-17435,01/24/2018,1156.0,01/24/2018,1156.0,Officer Adan Cruz,,Highway/Road/Alley/Street,Sector F2 Old&Upper Hill,TYLER ST @ HANCOCK ST,SPRINGFIELD MA,1   Suspicious Vehicle,01/24/2018 @ 1207,01/24/2018 @ 1221,02/08/2018 @ 1904
18-13-FI,18-2194,01/03/2018,1935.0,01/03/2018,1935.0,Officer Michael Sierra,Officer Douglas Bernier,Parking Lot/Garage,Sector F2 Old&Upper Hill,J&J PACKAGE STORE LOT,SPRINGFIELD MA,1   Suspicious Person,01/03/2018 @ 1944,01/03/2018 @ 1955,01/04/2018 @ 2344
18-130-FI,18-17539,01/24/2018,1420.0,01/24/2018,1420.0,Officer Jose Silva,,Other/Unknown,Sector A N. End/Memorial,CURTIS UNIVERSAL JOINT CO,SPRINGFIELD MA,1   Police Information,01/24/2018 @ 1438,01/24/2018 @ 1453,02/05/2018 @ 1727
18-131-FI,18-17541,01/24/2018,1423.0,01/24/2018,1423.0,Officer Adan Cruz,,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,BY THE CHURCH,"HAYDEN AL @ HAYDEN AVE
     SPRINGFIELD MA",1   Suspicious Activity,01/24/2018 @ 1429,01/24/2018 @ 1432,02/08/2018 @ 1905
18-132-FI,18-17541,01/24/2018,1423.0,01/24/2018,1423.0,Officer Adan Cruz,,,,,,,,,
18-133-FI,18-17605,01/24/2018,1558.0,01/24/2018,1558.0,Officer Steven Barker,,Highway/Road/Alley/Street,Sector I1 16Acr/Outer Bel,SONIA ST @ MAX ST,SPRINGFIELD MA,1   Suspicious Person    SOLAR DOOR TO DOOR - NO PERMITS,01/24/2018 @ 1656,02/18/2018 @ 1951,02/18/2018 @ 1952
18-134-FI,18-17702,01/24/2018,1827.0,01/24/2018,1827.0,Officer Anthony Sowers,Officer Maciej Jasinski,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,ARMORY ST @ HANNON ST,SPRINGFIELD MA,1   Gang Activity,01/24/2018 @ 1833,01/24/2018 @ 1842,01/24/2018 @ 1851
18-135-FI,18-17805,01/24/2018,2103.0,01/24/2018,2103.0,Officer Michael Chapin,Officer Anthony DiSantis,,,,,,,,
18-136-FI,18-17924,01/25/2018,125.0,01/25/2018,125.0,Officer Joseph Levesque,Officer Elizer Vasquez,Highway/Road/Alley/Street,Sector H1 Forest Park,,SPRINGFIELD MA,1   Police Information (POSSIBLE SHOOTER FROM SHOT SPOTTER),01/25/2018 @ 0415,01/25/2018 @ 0447,01/25/2018 @ 0708
18-137-FI,18-18183,01/25/2018,1125.0,01/25/2018,1125.0,Officer Douglas Bernier,Officer Adan Cruz,Other/Unknown,Sector F1 McKnight/Bay,BERGEN CIRCLE APARTMENTS,SPRINGFIELD MA,1   Drug Activity,01/25/2018 @ 1130,01/25/2018 @ 1202,01/25/2018 @ 1336
18-138-FI,18-18272,01/25/2018,1318.0,01/25/2018,1318.0,Officer Jose Silva,Officer Manuel Ayala,,,,,,,,
18-139-FI,18-18313,01/25/2018,1415.0,01/25/2018,1415.0,Officer Daniel Billingsley,,Highway/Road/Alley/Street,Sector E1 Metro/South End,,SPRINGFIELD MA,1   Suspicious Person,01/25/2018 @ 1418,01/25/2018 @ 1423,03/07/2018 @ 1419
18-14-FI,18-2249,01/03/2018,2055.0,01/03/2018,2055.0,Officer Chad Joseph,Officer Anthony Kelliher,Service/Gas Station,Sector H3 Forest Park/EFP,RACING MART,SPRINGFIELD MA,1   Police Information,01/03/2018 @ 2137,01/03/2018 @ 2147,01/03/2018 @ 2229
18-140-FI,18-18613,01/25/2018,2152.0,01/25/2018,2152.0,Sergeant Devon Williams,Officer Manuel Ayala,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,ARMORY ST @ MAGAZINE ST,SPRINGFIELD MA,1   Suspicious Person,01/25/2018 @ 2215,01/25/2018 @ 2248,01/25/2018 @ 2318
18-141-FI,18-18990,01/26/2018,1133.0,01/26/2018,1133.0,Officer Douglas Bernier,Officer Adan Cruz,Highway/Road/Alley/Street,Sector F2 Old&Upper Hill,,SPRINGFIELD MA,1   Police Information,,,
18-142-FI,18-19014,01/26/2018,1210.0,01/26/2018,1210.0,Officer Stephen Tyburski,,Highway/Road/Alley/Street,Sector E1 Metro/South End,,SPRINGFIELD MA,1   Suspicious Person PAN HANDLING,,,
18-143-FI,18-19028,01/26/2018,1223.0,01/26/2018,1223.0,Officer Manuel Ayala,,Other/Unknown,,,,1   Suspicious Activity/DRUG AVTIVITY,,,
18-144-FI,18-19136,01/26/2018,1444.0,01/26/2018,1444.0,Officer Douglas Bernier,Officer Adan Cruz,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,SYCAMORE ST @ ACORN ST,SPRINGFIELD MA,1   Suspicious Person,01/26/2018 @ 1452,01/26/2018 @ 1455,02/08/2018 @ 1906
18-145-FI,18-19219,01/26/2018,1716.0,01/26/2018,1716.0,Sergeant William Catellier,Officer Darrin Fitzpatrick,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,,SPRINGFIELD MA,1   Gang Activity,01/26/2018 @ 1719,01/26/2018 @ 1724,01/26/2018 @ 1825
18-146-FI,18-19277,01/26/2018,1836.0,01/26/2018,1836.0,Officer Juan Taveras,Officer Marcos Hernandez,,,,,,,,
18-147-FI,18-19266,01/26/2018,1823.0,01/26/2018,1823.0,Officer Lindsay Tagliapietra,Captain Scott Richard,Other/Unknown,Sector F2 Old&Upper Hill,BURGER KING BURGER KING #2,SPRINGFIELD MA,1   Suspicious Person,01/26/2018 @ 1849,01/26/2018 @ 1857,01/26/2018 @ 1959
18-148-FI,18-19369,01/26/2018,2101.0,01/26/2018,2101.0,Officer Anthony Kelliher,Sergeant Daniel Johnson,Highway/Road/Alley/Street,Sector H1 Forest Park,BELMONT AVE @ BELLEVUE AVE,SPRINGFIELD MA,1   Suspicious Vehicle,01/26/2018 @ 2107,01/26/2018 @ 2118,01/26/2018 @ 2133
18-149-FI,18-19974,01/27/2018,1840.0,01/27/2018,1840.0,Sergeant William Catellier,Officer Darrin Fitzpatrick,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,SCHOOL ST @ HIGH ST,SPRINGFIELD MA,1   Drug Activity,01/27/2018 @ 1957,01/27/2018 @ 2001,01/27/2018 @ 2021
18-15-FI,18-2311,01/03/2018,2240.0,01/03/2018,2240.0,Officer Maciej Jasinski,Officer Anthony Sowers,Highway/Road/Alley/Street,Sector E1 Metro/South End,ACUSHNET AVE @ MAIN ST,SPRINGFIELD MA,1   Gang Activity,01/03/2018 @ 2252,01/03/2018 @ 2257,01/03/2018 @ 2327
18-150-FI,18-19987,01/27/2018,1852.0,01/27/2018,1852.0,Officer Michael Chapin,,Convenience Store,Sector E1 Metro/South End,ZONE MARKET,,1   Suspicious Person,01/27/2018 @ 1924,01/27/2018 @ 1931,01/27/2018 @ 2314
18-151-FI,18-19998,01/27/2018,1909.0,01/27/2018,1909.0,Officer Marcos Hernandez,Officer Maciej Jasinski,Highway/Road/Alley/Street,Sector B1 Liberty Heights,,SPRINGFIELD MA,1   Suspicious Activity,01/27/2018 @ 1938,01/27/2018 @ 2001,02/05/2018 @ 1722
18-152-FI,18-19987,01/27/2018,1852.0,01/27/2018,1852.0,Officer Michael Chapin,,Convenience Store,Sector E1 Metro/South End,ZONE MARKET,SPRINGFIELD MA 01105,1   Suspicious Vehicle,01/27/2018 @ 1939,01/27/2018 @ 1950,01/27/2018 @ 2314
18-153-FI,18-19987,01/27/2018,1852.0,01/27/2018,1852.0,Officer Michael Chapin,,Convenience Store,Sector E1 Metro/South End,ZONE MARKET,SPRINGFIELD MA 01105,1   Suspicious Person (LOITERING),01/27/2018 @ 2009,01/27/2018 @ 2013,01/27/2018 @ 2315
18-154-FI,18-20046,01/27/2018,2020.0,01/27/2018,2020.0,Officer Dads Dominque,Sergeant Daniel Johnson,Residence/Home/Apt./Condo,Sector H1 Forest Park,2,SPRINGFIELD MA,1   Police Information,01/27/2018 @ 2033,01/27/2018 @ 2125,03/07/2018 @ 1407
18-155-FI,18-20352,01/28/2018,917.0,01/28/2018,917.0,Officer Chad Joseph,,Highway/Road/Alley/Street,Sector H1 Forest Park,,,1   Suspected Prostitution,01/28/2018 @ 0927,01/28/2018 @ 0940,01/28/2018 @ 1019
18-156-FI,18-20553,01/28/2018,1636.0,01/28/2018,1636.0,Sergeant Devon Williams,Officer Samantha Jones,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,,SPRINGFIELD MA,1   Drug Activity,01/28/2018 @ 1852,01/28/2018 @ 1926,02/08/2018 @ 1907
18-157-FI,18-20609,01/28/2018,1734.0,01/28/2018,1734.0,Sergeant Daniel Johnson,Officer Dads Dominque,,,,,,,,
18-158-FI,18-20664,01/28/2018,1923.0,01/28/2018,1923.0,Officer Michael Chapin,,Service/Gas Station,Sector E1 Metro/South End,CITGO GAS,SPRINGFIELD MA 01105,1   Suspicious Person (LOITERING),01/28/2018 @ 1930,01/28/2018 @ 1934,02/04/2018 @ 2357
18-159-FI,18-20686,01/28/2018,2002.0,01/28/2018,2002.0,Officer Robert Gayle,Officer Marcos Hernandez,Other/Unknown,Sector A N. End/Memorial,ST. PIERRE PHANEUF FUNERAL HOME,SPRINGFIELD MA,1   Suspicious Person,01/28/2018 @ 2010,01/28/2018 @ 2018,02/05/2018 @ 1722
18-16-FI,18-2315,01/03/2018,2249.0,01/03/2018,2249.0,Officer Joel Rosemond,Officer Angel Marrero,Highway/Road/Alley/Street,Sector E1 Metro/South End,MAIN ST @ FREMONT ST,SPRINGFIELD MA,1   Suspicious Activity,01/03/2018 @ 2307,01/03/2018 @ 2316,01/04/2018 @ 0018
18-160-FI,18-21211,01/29/2018,1419.0,01/29/2018,1419.0,Officer Jose Silva,,Other/Unknown,Sector A N. End/Memorial,MCDONALDS RESTAURANT (NORTH END),,1   Suspicious Person,01/29/2018 @ 1426,01/29/2018 @ 1438,02/05/2018 @ 1719
18-161-FI,18-21411,01/29/2018,1905.0,01/29/2018,1905.0,Sergeant Devon Williams,Officer Charles Scheehser,Highway/Road/Alley/Street,Sector F2 Old&Upper Hill,,SPRINGFIELD MA,1   Drug Activity POLICE INFORMATION,01/29/2018 @ 1910,01/29/2018 @ 1942,02/08/2018 @ 1915
18-162-FI,18-21840,01/30/2018,1041.0,01/30/2018,1041.0,Officer Brendan Linnehan,Officer Joel-Bernard Stern,Highway/Road/Alley/Street,Sector E1 Metro/South End,,SPRINGFIELD MA,1   Police Information-PAN HANDLING,01/30/2018 @ 1052,01/30/2018 @ 1056,01/30/2018 @ 1114
18-163-FI,18-21883,01/30/2018,1125.0,01/30/2018,1125.0,Officer Daniel Billingsley,Officer Gregory Vatrano,Highway/Road/Alley/Street,Sector H2 Forest Park/EFP,ALDERMAN ST @ DICKINSON ST,SPRINGFIELD MA,1   Suspicious Person-SUBJECT WITH BB RIFLE,01/30/2018 @ 1139,01/30/2018 @ 1149,01/30/2018 @ 1156
18-164-FI,18-22088,01/30/2018,1642.0,01/30/2018,1642.0,Officer Lindsay Tagliapietra,Officer Darrin Fitzpatrick,Residence/Home/Apt./Condo,Sector E2 Metro/6Corners,IN HALLWAY,SPRINGFIELD MA,1   Suspicious Activity,01/30/2018 @ 2138,01/30/2018 @ 2146,01/30/2018 @ 2155
18-165-FI,18-22572,01/31/2018,901.0,01/31/2018,901.0,Officer Daniel Billingsley,,Residence/Home/Apt./Condo,Sector H2 Forest Park/EFP,,SPRINGFIELD MA,1   Suspicious Person,01/31/2018 @ 0906,01/31/2018 @ 0912,03/07/2018 @ 1356
18-166-FI,18-22575,01/31/2018,905.0,01/31/2018,905.0,Lieutenant John Zollo,,Liquor Store,Sector E1 Metro/South End,,SPRINGFIELD MA,1   Suspicious Activity,01/31/2018 @ 0938,01/31/2018 @ 0946,01/31/2018 @ 1100
18-167-FI,18-22793,01/31/2018,1327.0,01/31/2018,1327.0,Officer Manuel Ayala,Officer Jose Silva,,,,,,,,
18-169-FI,18-22751,01/31/2018,1237.0,01/31/2018,1237.0,Officer Douglas Bernier,Officer Adan Cruz,Highway/Road/Alley/Street,Sector F1 McKnight/Bay,SW SECTOR,"FLORIDA ST @ ST JAMES AVE
     SPRINGFIELD MA",1   Gang Activity,01/31/2018 @ 1507,01/31/2018 @ 1524,02/08/2018 @ 1908
18-17-FI,18-2821,01/04/2018,1901.0,01/04/2018,1901.0,Officer Patrick Haggerty,Lieutenant Julio Toledo,Highway/Road/Alley/Street,Sector B2 Liberty Heights,,,1   Police Information/PERSON OF INTEREST/DRUG ACTIVITY,01/04/2018 @ 2258,01/04/2018 @ 2324,01/11/2018 @ 1945
18-170-FI,18-22894,01/31/2018,1645.0,01/31/2018,1645.0,Officer Lindsay Tagliapietra,Officer Darrin Fitzpatrick,Highway/Road/Alley/Street,City,UNION ST @ E COLUMBUS AVE,SPRINGFIELD MA,1   Gang Activity/POLICE INFORMATION,01/31/2018 @ 1652,01/31/2018 @ 1657,01/31/2018 @ 1722
18-171-FI,18-22921,01/31/2018,1719.0,01/31/2018,1719.0,Officer Steven Barker,Captain Philip Tarpey,Highway/Road/Alley/Street,Sector I3 16Acr/Outer Bel,,SPRINGFIELD MA,1   Police Information,01/31/2018 @ 1756,01/31/2018 @ 1838,01/31/2018 @ 1849
18-172-FI,18-22970,01/31/2018,1839.0,01/31/2018,1839.0,Officer Anthony Kelliher,Officer Gregory Vatrano,Parking Lot/Garage,Sector H3 Forest Park/EFP,CVS PARKING LOT,SPRINGFIELD MA,1   Suspicious Person,01/31/2018 @ 1949,01/31/2018 @ 1958,01/31/2018 @ 2002
18-173-FI,18-23119,01/31/2018,2242.0,01/31/2018,2242.0,Officer Anthony Sowers,Officer Maciej Jasinski,Service/Gas Station,Sector F1 McKnight/Bay,IRVING GAS STATION,SPRINGFIELD MA,1   Gang Activity,01/31/2018 @ 2249,01/31/2018 @ 2255,01/31/2018 @ 2340
18-18-FI,18-3494,01/05/2018,1753.0,01/05/2018,1753.0,Officer Victor Allder,Sergeant Devon Williams,Liquor Store,Sector F2 Old&Upper Hill,J&J PACKAGE STORE,SPRINGFIELD MA,1   Gang Activity,01/05/2018 @ 1809,01/05/2018 @ 1817,01/05/2018 @ 1910
18-19-FI,18-4077,01/06/2018,1414.0,01/06/2018,1414.0,Officer Anthony DiSantis,Special Police Officer Jose Feliciano,Commercial/Office Building,Sector E1 Metro/South End,TOWER SQUARE,SPRINGFIELD MA,1   Suspicious Person,01/06/2018 @ 1422,01/06/2018 @ 1436,01/06/2018 @ 1628
18-2-FI,18-124,01/01/2018,249.0,01/01/2018,249.0,Sergeant Daniel Johnson,Officer Lino Carrasquillo,Other/Unknown,,,,1   Gang Activity,01/01/2018 @ 0308,01/01/2018 @ 0315,01/01/2018 @ 0346
18-20-FI,18-4107,01/06/2018,1519.0,01/06/2018,1519.0,Officer Angel Monserrate,Officer Arjel Falcon,Other/Unknown,Sector E2 Metro/6Corners,SPRINGFIELD LIBRARY & MUSEUMS ASSOCIATION ADM,SPRINGFIELD MA,1   Suspicious Person,01/06/2018 @ 1543,01/06/2018 @ 1550,01/06/2018 @ 1630
18-21-FI,18-4181,01/05/2018,1800.0,01/05/2018,1800.0,Officer Lindsay Tagliapietra,Officer Herman Little,Highway/Road/Alley/Street,Sector E2 Metro/6Corners,SCHOOL ST @ TEMPLE ST,,1   Drug Activity,01/06/2018 @ 2230,01/06/2018 @ 2254,01/06/2018 @ 2306
18-22-FI,18-4183,01/06/2018,1755.0,01/06/2018,1755.0,Officer Anthony Sowers,Officer Maciej Jasinski,Highway/Road/Alley/Street,Sector H1 Forest Park,LOCUST ST @ BELMONT AVE,SPRINGFIELD MA,1   Gang Activity,01/06/2018 @ 2246,01/06/2018 @ 2311,01/06/2018 @ 2319
18-23-FI,18-4771,01/07/2018,1617.0,01/07/2018,1617.0,Sergeant Daniel Johnson,Officer Dads Dominque,Highway/Road/Alley/Street,Sector H1 Forest Park,LENOX ST @ SUMNER AVE,SPRINGFIELD MA,1   Suspicious Activity,01/07/2018 @ 1620,01/07/2018 @ 1623,01/07/2018 @ 1814
18-24-FI,18-4861,01/07/2018,1827.0,01/07/2018,1827.0,Officer Patrick Haggerty,Officer Manuel Ayala,,,,,,,,
18-25-FI,18-4911,01/07/2018,1951.0,01/07/2018,1951.0,Officer Juan Taveras,Officer Jose Silva,Residence/Home/Apt./Condo,Sector A N. End/Memorial,,SPRINGFIELD MA,1   Suspicious Activity,01/07/2018 @ 2001,01/07/2018 @ 2023,01/07/2018 @ 2222
18-26-FI,18-4959,01/07/2018,2146.0,01/07/2018,2146.0,Officer Rolando Nunez,Officer James Trubia,Highway/Road/Alley/Street,Sector B1 Liberty Heights,N SECTOR,"STAFFORD ST @ ARMORY ST
    SPRINGFIELD MA",1   Police Information,01/07/2018 @ 2220,01/07/2018 @ 2232,01/07/2018 @ 2324
18-27-FI,18-4974,01/07/2018,2202.0,01/07/2018,2202.0,Officer Joshua Wingler,Officer Bernice Burgos,Residence/Home/Apt./Condo,Sector E2 Metro/6Corners,,SPRINGFIELD MA,1   GUN CALL,01/07/2018 @ 2305,01/07/2018 @ 2327,01/07/2018 @ 2341
