Casenum,Desc,StreetNum,StreetName,StreetSuf,Jur,City,State,CreatedById
16-3-FI,Suspicious Person,147,FLORENCE,ST,BRO,BROCKTON,MA,535
16-1-FI,Police Information,692,N MAIN,ST,BRO,BROCKTON,MA,560
16-2-FI,Police Information,385,WESTGATE,DR,BRO,BROCKTON,MA,548
16-4-FI,Suspicious Activity,1300,MAIN,ST,BRO,BROCKTON,MA,535
16-5-FI,UNLAWFUL POSSESION FIREARM,73,N WARREN,AVE,BRO,BROCKTON,MA,407
16-115-FI,Police Information,27,LYMAN,ST,BRO,BROCKTON,MA,548
16-7-FI,Suspicious Activity,155,CENTRE,ST,BRO,BROCKTON,MA,503
16-6-FI,Suspicious Person,175,FOREST,AVE,BRO,BROCKTON,MA,443
16-8-FI,Suspicious Activity,382,N MAIN,ST,BRO,BROCKTON,MA,558
16-9-FI,Suspicious Vehicle,17,LINDEN,ST,BRO,BROCKTON,MA,563
16-10-FI,Other,73,HIGHLAND,ST,BRO,BROCKTON,MA,347
16-11-FI,Other,30,PARK,ST,BRO,BROCKTON,MA,347
16-12-FI,Police Information,35,TORREY,ST,BRO,BROCKTON,MA,548
16-13-FI,Suspicious Person,142,E ASHLAND,ST,BRO,BROCKTON,MA,535
16-14-FI,Suspicious Activity,37,ELM,AVE,BRO,BROCKTON,MA,547
16-16-FI,Suspicious Vehicle,937,PLEASANT,ST,BRO,BROCKTON,MA,535
16-17-FI,Suspicious Vehicle,88,HILL,ST,BRO,BROCKTON,MA,507
16-19-FI,Suspicious Vehicle,50,SOUTH,ST,BRO,BROCKTON,MA,535
16-18-FI,Suspicious Activity,31,FALCONER,AVE,BRO,BROCKTON,MA,535
16-20-FI,Police Information,216,BELMONT,ST,BRO,BROCKTON,MA,548
16-21-FI,Traffic Post,1,LYMAN,ST,BRO,BROCKTON,MA,559
16-23-FI,GANG INTEL,848,MONTELLO,ST,BRO,BROCKTON,MA,407
16-22-FI,Suspicious Person,21,TILTON,AVE,BRO,BROCKTON,MA,517
16-24-FI,Suspicious Vehicle,611,N MONTELLO,ST,BRO,BROCKTON,MA,503
16-25-FI,Suspicious Activity,18,FAIRFIELD,ST,BRO,BROCKTON,MA,517
16-26-FI,Police Information,,TABER,AVE,BRO,BROCKTON,MA,548
16-27-FI,GANG INTELLIGENCE,35,FORD,ST,BRO,BROCKTON,MA,503
16-28-FI,Police Information,335,MAIN,ST,BRO,BROCKTON,MA,535
16-29-FI,GANG INTELLIGENCE,19,HIGHLAND,ST,BRO,BROCKTON,MA,503
16-30-FI,Suspicious Activity,40,TURNER,ST,BRO,BROCKTON,MA,415
16-31-FI,Suspicious Vehicle,705,WARREN,AVE,BRO,BROCKTON,MA,415
16-32-FI,Suspicious Vehicle,490,FOREST,AVE,BRO,BROCKTON,MA,535
16-33-FI,Suspicious Vehicle,41,EATON,ST,BRO,BROCKTON,MA,437
16-35-FI,Suspicious Vehicle,,,,BRO,BROCKTON,MA,314
16-34-FI,Suspicious Vehicle,66,CLIFTON,AVE,BRO,BROCKTON,MA,548
